"CitationID","Bibcite","Citation"
"Aneesh_2014","\citep{Aneesh:2014aa}","Aneesh, K.K.V., P. Pravin, N. Ragesh, B. Meenakumari. 2013. Length-weight relationship of neon flying squid Ommastrephes bartramii (Cephalopoda: Ommastrephidae) caught from Indian sector of Southern Ocean. Indian Journal of Geo-Marine Science. 43:1581-1584."
"Arshad_2007","\citep{Arshad:2007aa}","Arshad, A., Amin, S. N., Siraj, S. S., & Japar, S. B. (2007). New distribution records of sergestid shrimp, Acetes intermedius (Decapoda: Sergestidae) from Peninsular Malaysia with notes on its population characteristics. Journal of Biological Sciences, 7(8), 1305-1313."
"Arudpragasam_1964","\citep{Arudpragasam:1964aa}","ARUDPRAGASAM, K. D., AND E. YLOR (1964). GILL VENTILATION VOLUMES, OXYGEN CONSUMPTION AND RESPIRATORY RHYTHMS IN CARCINUS MAES (L.) . J. Exp. Biol., 41, 309-321"
"Baeta_2016","\citep{Baeta:2016aa}","Baeta, M., Galimany, E., Ramón, M. (2016) Growth and reproductive biology of the sea star Astropecten aranciacus (Echinodermata, Asteroidea) on the continental shelf of the Catalan Sea (northwestern Mediterranean). Helgoland Marine Research 70: 1"
"Beck_1993","\citep{Beck:1993aa}","Beck, Gregor Gilpin ,Thomas G. Smith, Michael O. Hammil (1993) Evaluation of Body Condition in the Northwest Atlantic Harp Seal (Phoca groenlandica) Canadian Journal of Fisheries and Aquatic Sciences, 1993, 50(7): 1372-1381"
"Bell_2007","\citep{Bell:2007aa}","Bell, S. L. M., T. B. Herman and R. J. Wassersug. Ecology of Thamnophis sauritus (Eastern Ribbon Snake) at the northern limit of its range. Northeastern Naturalist 14:279-292"
"Bjerregaard_2021","\citep{Bjerregaard:2021aa}","Bjerregaard, P. and Møller, L.M., 2021. Exposure to methylmercury and inorganic mercury in the food does not lead to trophic magnification in the sea star Asterias rubens. Environmental Pollution, 285, p.117401."
"Booth_1982","\citep{Booth:1982aa}","Booth, McMahon and Pinder (1982) Oxygen uptake and the potentiating effects of increased hemolymph lactate on oxygen transport during exercise in the blue crab,Callinectes sapidus. Journal of Comparative Physiology 148(1): 111–121"
"Borzee_2018","\citep{Borzee:2018aa}","Borzée, A., Kim, M., Kim, J. Y., Kim, T., & Jang, Y. (2018). Microhabitat use during brumation in the Japanese treefrog, Dryophytes japonicus. Amphibia-Reptilia, 39(2), 163-175."
"Bowen_1981","\citep{Bowen:1981aa}","Bowen, W. D., Capstick, C. K., & Sergeant, D. E. (1981). Temporal changes in the reproductive potential of female harp seals (Pagophilus groenlandicus). Canadian Journal of Fisheries and Aquatic Sciences, 38(5), 495-503."
"Campbell_2008","\citep{Campbell:2008aa}","Campbell, L., P. Verburg, D.G. Dixon, and R.E. Hecky. 2008. Mercury biomagnification in the food web of Lake Tanganyika (Tanzania, East Africa). Science of the Total Environment 402:184-191."
"Chastant_2014","\citep{Chastant:2014aa}","Chastant, J. E., King, D. T., Weseloh, D. C. and Moore, D. J. (2014), Population dynamics of double‐crested cormorants in two interior breeding areas. Jour. Wild. Mgmt., 78: 3-11."
"Chipps_2002","\citep{Chipps:2002aa}","Chipps, S. R., & Bennett, D. H. (2002). Evaluation of a Mysis bioenergetics model. Journal of Plankton Research, 24(1), 77-82."
"Chomsky_2004","\citep{Chomsky:2004aa}","Chomsky, O., Y. Kamenir, M. Hyams, Z. Dubinsky, N.E. Chadwick-Furman (2004) Effects of feeding regime on growth rate in the Mediterranean Sea anemone Actinia equina (Linnaeus). Journal of Experimental Marine Biology and Ecology, 299(2): 217-229."
"Cortes_2002","\citep{Cortes:2002aa}","Cortés, E. (2002). Incorporating uncertainty into demographic modeling: application to shark populations and their conservation. Conservation biology, 16(4), 1048-1062."
"Cruz_1987","\citep{Cruz:1987aa}","Cruz, G.A. Reproductive Biology and Feeding Habits of Cuyamel, Joturus Pichardi and Tepemechín, Agonostomus Monticola (Pisces; Mugilidae) from Rio Plátano, Mosquitia, Honduras. Bulletin of Marine Science 40(1): 63-72, 1987."
"Davis_1985","\citep{Davis:1985aa}","Davis, C.S., P.H. Wiebe. 1985. Macrozooplankton biomass in a warm-core gulf stream ring: Time series changes in size structure, taxonomic composition, and vertical distribution. Journal of Geophysical Research. 90:8871-8884."
"Durand_1998","\citep{Durand:1998aa}","Durand and Regnault (1998) Nitrogen metabolism of two portunid crabs, carcinus maenas and necora puber, during prolonged air exposure and subsequent recovery: a comparative study. Journal of Experimental Biology 201: 2515-2528;"
"Erlinge_1987","\citep{Erlinge:1987aa}","Erlinge, S. (1987). Why do European stoats Mustela erminea not follow Bergmann's Rule?. Ecography, 10(1), 33-39."
"Ernest_2003","\citep{Ernest:2003aa}","Ernest, S.K. Morgan. (2003). Life history characteristics of placental nonvolant mammals. Ecology. 84. 3402-3402. 10.1890/02-9002."
"Fabre_2013","\citep{Fabre:2013aa}","Fabre, Anne-Claire, Raphael Cornette, Stéphane Peigné, Anjali Goswami; Influence of body mass on the shape of forelimb in musteloid carnivorans, Biological Journal of the Linnean Society, Volume 110, Issue 1, 1 September 2013, Pages 91–103"
"Ferreri_2014","\citep{Ferreri:2014aa}","Ferreri, Gaston A. Bazzino (2014) Length—Weight Relationships and Condition Factors of the Humboldt Squid (dosidicus Gigas) from the Gulf of california and the Pacific Ocean. Journal of Shellfish Research 33(3):769-780."
"Field_etal_2007","\citep{Field:2007aa}","Field, J.C., K. Baltz, A.J. Phillips, W.A. Walker. 2007. Range expansion and trophic interactions of the jumbo squid, Dosidicus gigas, in the California Current. California Cooperative Oceanic Fisheries Investigations Report. 48:131."
"Forsythe_1989","\citep{Forsythe:1989aa}","Forsythe and Hanlon (1989) Growth of the Eastern Atlantic squid, Loligo forbesi Steenstrup (Mollusca: Cephalopoda). 20(1): 1-14"
"Froese_2014","\citep{Froese:2014aa}","Froese, R., J. Thorson and R.B. Reyes Jr., 2014. A Bayesian approach for estimating length-weight relationships in fishes. J. Appl. Ichthyol. 30(1):78-85."
"Gorbatenko_2009","\citep{Gorbatenko:2009aa}","Gorbatenko, K.M., Nikolayev, A.V., Figurkin, A.L. et al. Russ J Mar Biol (2009) 35: 579."
"Grant_2012","\citep{Grant:2012aa}","Grant, W. S. and Cheng, W. (2012), Incorporating deep and shallow components of genetic structure into the management of Alaskan red king crab. Evolutionary Applications, 5: 820-837."
"Grigione_2002","\citep{Grigione:2002aa}","Grigione, M., Beier, P., Hopkins, R., Neal, D., Padley, W., Schonewald, C., & Johnson, M. (2002). Ecological and allometric determinants of home-range size for mountain lions (Puma concolor). Animal Conservation, 5(4), 317-324."
"Gurkan_2007","\citep{Gurkan:2007aa}","Gurkan, S., & Taskavak, E. (2007). Length-weigth relationships for syngnathid fishes of the Aegean Sea, Turkey. Belgian Journal of Zoology, 137(2), 219."
"Harvey_2012","\citep{Harvey:2012aa}","Harvey, H. R., Pleuthner, R. L., Lessard, E. J., Bernhardt, M. J., & Shaw, C. T. (2012). Physical and biochemical properties of the euphausiids Thysanoessa inermis, Thysanoessa raschii, and Thysanoessa longipes in the eastern Bering Sea. Deep Sea Research Part II: Topical Studies in Oceanography, 65, 173-183."
"Hatfield_2002","\citep{Hatfield:2002aa}","Hatfield and Cadrin (2002) Geographic and temporal patterns in size and maturity of the longfin inshore squid (Loligo pealeii) off the northeastern United States.  Fish. Bull. 200–213"
"Hirota_1974","\citep{Hirota:1974aa}","Hirota, J. (1974). Quantitative natural history of Pleurobrachia bachei in La Jolla Bight. Fish. Bull, 72, 295-335."
"Hirst_1998","\citep{Hirst:1998aa}","Hirst, A. G., & Lucas, C. H. (1998). Salinity influences body weight quantification in the scyphomedusa Aurelia aurita: important implications for body weight determination in gelatinous zooplankton. Marine Ecology Progress Series, 165, 259-269."
"Holthuis_1991","\citep{Holthuis:1991aa}","Holthuis (1991). ""Homarus americanus"". FAO Species Catalogue, Volume 13. Marine Lobsters of the World. FAO Fisheries Synopsis No. 125. Food and Agriculture Organization. p. 58. ISBN 92-5-103027-8. Archived from the original on 2011-06-08."
"Ignasiak_2017","\citep{Ignasiak:2017aa}","Ignasiak, E., Steffensmeier, Z., Warfield, E., Bratti, F., & Simon, T. P. (2017). Length-weight relationships, age and growth, and body condition of the Spottail Shiner (Notropis hudsonius)(Clinton 1824) in the western basin of Lake Erie. The Ohio Journal of Science, 117(2), 16-26."
"Jennings_2002","\citep{Jennings:2002aa}","Jennings, Pinnegar, Polunin and Warr (2002). Linking size-based and trophic analyses of benthic community structure. Marine Ecology Progress Series 226"
"Karamanlidis_2015","\cite{Karamanlidis:2015aa}","Karamanlidis, Alexandros & Dendrinos, Panagiotis. (2015). Monachus monachus, Mediterranean Monk Seal. 10.2305/IUCN.UK.2015-4.RLTS.T13653A45227543.en."
"Khan_2003","\citep{Khan:2003aa}","Khan, R.A., 2003. Observations on some aspects of the biology of horse-shoe crab, Carcinoscorpius rotundicauda (Latreille) on mud flats of Sunderban estuarine region. Rec Zool Surv India, 101:1-23."
"King_1996","\citep{King:1996aa}","KING, C., FLUX, M., INNES, J., & FITZGERALD, B. (1996). POPULATION BIOLOGY OF SMALL MAMMALS IN PUREORA FOREST PARK: 1. CARNIVORES (MUSTELA ERMINEA, M. FURO, M. NIVALIS, AND FELIS CATUS). New Zealand Journal of Ecology, 20(2), 241-251. Retrieved from http://www.jstor.org/stable/24054475"
"King_2012","\citep{King:1979aa}","King, Carolyn M.  & Philip J. Moors (2012) The life-history tactics of mustelids, and their significance for predator control and conservation in New Zealand, New Zealand Journal of Zoology, 6:4, 619-622"
"Lai_2005","\citep{Lai:2005aa}","Lai, Yung-Chih., Tsung-Han Lee and Yeong-Choy Kam. (2005) A Skeletochronological Study on a Subtropical, Riparian Ranid (Rana swinhoana) from Different Elevations in Taiwan.  Zoological Science 22(6):653-658"
"Laptikhovsky_2015","\citep{Laptikhovsky:2015aa}","Laptikhovsky, V., Brickle, P., Söffker, M., Davidson, D., Roux, M. J., Rexer-Huber, K., ... & Parker, G. (2015). Life history and population characteristics of the Antarctic starfish, Anasterias antarctica L ü tken, 1856 (Asteroidea: Forcipulatida: Asteriidae) around the Falkland Islands. Polar Biology, 38, 463-474."
"Leitao_2006","\citep{Leitao:2006aa}","R. Leitão, F. Martinho, J.M. Neto, H. Cabral, J.C. Marques, M.A. Pardal, 2006, Feeding ecology, population structure and distribution of Pomatoschistus microps (Krøyer, 1838) and Pomatoschistus minutus (Pallas, 1770) in a temperate estuary, Portugal, Estuarine, Coastal and Shelf Science, 66, 1–2, 231-239,"
"Leonardos_2000","\citep{Leonardos:2000aa}","Leonardos, I., & Sinis, A. (2000). Age, growth and mortality of Atherina boyeri Risso, 1810 (Pisces: Atherinidae) in the Mesolongi and Etolikon lagoons (W. Greece). Fisheries research, 45(1), 81-91."
"Logan_2001","\citep{Logan:2001aa}","Logan K and Sweanor L (2001) Desert Puma: Evolutionary Ecology And Conservation Of An Enduring Carnivore. Island Press. 464."
"Lord_2013","\citep{Lord:2013aa}","Lord, L., R. Whitlatch, (2013) Impact of temperature and prey shell thickness on feeding of the oyster drill Urosalpinx cinerea Say, Journal of Experimental Marine Biology and Ecology, 448, 321-326"
"McDermott_1987","\citep{McDermott:1987aa}","McDermott, J. J. (1987). The distribution and food habits of Nephtys bucera Ehlers, 1868,(Polychaeta: Nephtyidae) in the surf zone of a sandy beach. Proceedings of the Biological Society of Washington, 100(1), 21-27."
"Miller_1975","\citep{Miller:1975aa}","Miller, P. J. (1975), Age‐structure and life‐span in the Common goby, Pomatoschistus microps. Journal of Zoology, 177: 425-448"
"Mohamad_2016","\citep{Mohamad:2016aa}","Mohamad, F., Manca, Azwarfarid, Ahmad, A., Fawwaz, M., Sofa, H.M., Alia'M, A.A., Ismail, N.W. 2016. Width-weight and length-weight relationships of the tri-spine horseshoe crab, Tachypleus tridentatus (Leach 1819) from two populations in Sabah, Malaysia: Implications for population management. Journal of Sustainability Science and Management 11(1): 1-13."
"Montgomery_2014","\citep{Montgomery:2014aa}","Montgomery, E. M. (2014). Predicting crawling speed relative to mass in sea stars. Journal of experimental marine biology and ecology, 458, 27-33."
"Moya-Ruiz_2003","\citep{Moya-Ruiz:2003aa}","Moya-Ruiz, F., Ramos, A., & Manjón-Cabeza, M. E. (2003). Distribution and ecology of Ophionotus victoriae Bell, 1902 (Ophiuroidea, Echinodermata) in the South Shetland Islands area (Antarctica). Bol. Inst. Esp. Oceanogr. 19 (1-4). 2003: 49-55"
"Navarrete_2008","\citep{Navarrete:2008aa}","Navarrete, S.A. and Manzur, T., 2008. Individual‐and population‐level responses of a keystone predator to geographic variation in prey. Ecology, 89(7), pp.2005-2018."
"Nishimura_1999","\citep{Nishimura:1999aa}","Nishimura, A., Nagasawa, K., Asanuma, T., Aoki, H., & Kubota, T. (1999). Age, growth, and feeding habits of lanternfish, Stenobrachius leucopsarus (Myctophidae), collected from the near-surface layer in the Bering Sea. Fisheries science, 65(1), 11-15."
