"CiteID","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","TA","TAlog","SA","SAlog","Yr","DT","tWS","FD","PS","PST","DR","Drc","Drf"
"Randall_1967","Abudefduf_saxatilis",405751,35,33,0.9429,"Fish","Ectotherm",80,"Marine",18.03,-65.21,"Years",2.86,"100km",5,1963,1963-01-01,NA,"Gut content (lethal)","Whole population","NA",17,"Class","Species"
"Randall_1967","Abudefduf_taurus",961374,17,17,1,"Fish","Ectotherm",227.6,"Marine",18.03,-65.21,"Years",2.86,"100km",5,1963,1963-01-01,NA,"Gut content (lethal)","Whole population","NA",5,"Class","Species"
"Purcell_1981a","Abyla_trigona",3680594,10,4,0.4,"Cnidarians","Ectotherm",NA,"Marine",30,-60,"Years",2.86,"100km",5,1979,1979-01-01,11,"Direct observation","Whole population","NA",1,"Class","Class"
"Burghart_2010","Acanthephyra_acutifrons",2974261,8,7,0.875,"Arthropods","Ectotherm",4.637,"Marine",27,-86,"Years",2.86,"10km",4,1998,1998-07-15,206,"Gut content (lethal)","Whole population","NA",5,"Class","Family"
"Burghart_2010","Acanthephyra_curtirostris",563063,53,51,0.962,"Arthropods","Ectotherm",3.618,"Marine",27,-86,"Years",2.86,"10km",4,1998,1998-07-15,206,"Gut content (lethal)","Whole population","NA",9,"Class","Family"
"Burghart_2010","Acanthephyra_stylorostratis",367600,59,56,0.949,"Arthropods","Ectotherm",3,"Marine",27,-86,"Years",2.86,"10km",4,1998,1998-07-15,206,"Gut content (lethal)","Whole population","NA",8,"Class","Family"
"Menge_1974a","Acanthinucella_punctulata",294761,97,20,0.21,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-03-24,93,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,41,18,0.44,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1970,1970-11-16,330,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,60,21,0.35,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-03-15,84,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,49,13,0.27,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-01-10,20,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,60,17,0.2833,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-03-15,84,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,152,27,0.18,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-03-23,92,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,61,18,0.3,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-02-06,47,"Direct observation","Whole population","NA",6,"Species","Species"
"Menge_1974a","Acanthinucella_punctulata",294761,25,9,0.36,"Molluscs","Ectotherm",0.85,"Marine",34,-119.88,"Hours",-1.78,"10m",1,1971,1971-01-09,19,"Direct observation","Whole population","NA",6,"Species","Species"
"Wieters_2000","Acanthinucella_spirata",294762,137,67,0.49,"Molluscs","Ectotherm",0.8,"Marine",35.21,-120.86,"Hours",-1.78,"10m",1,1996,1996-01-15,25,"Direct observation","Whole population","NA",5,"Species","Species"
"Wieters_2000","Acanthinucella_spirata",294762,156,109,0.7,"Molluscs","Ectotherm",0.8,"Marine",34.4,-119.74,"Hours",-1.78,"10m",1,1996,1996-01-15,25,"Direct observation","Whole population","NA",3,"Species","Species"
"Randall_1967","Acanthostracion_polygonius",333678,4,3,0.75,"Fish","Ectotherm",405.8,"Marine",18.03,-65.21,"Years",2.86,"100km",5,1963,1963-01-01,NA,"Gut content (lethal)","Whole population","NA",7,"Phylum","Species"
"Randall_1967","Acanthostracion_quadricornis",179259,6,6,1,"Fish","Ectotherm",283.6,"Marine",18.03,-65.21,"Years",2.86,"100km",5,1963,1963-01-01,NA,"Gut content (lethal)","Whole population","NA",12,"Phylum","Species"
"Arrington_2002","Acestrorhynchus_heterolepis",512087,11,3,0.2727,"Fish","Ectotherm",463.3,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Arrington_2002","Acestrorhynchus_minimus",512091,35,19,0.5429,"Fish","Ectotherm",1.932,"Lotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gut content (lethal)","Whole population","NA",NA,NA,NA
"Metillo_2011","Acetes_intermedius",2970917,35,32,0.9143,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",8,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,30,0.8571,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",9,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,17,0.4857,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,27,0.7714,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,35,1,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",7,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,26,0.7429,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",8,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",0.006,"Marine",8.21,-124.18,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",8,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,34,0.9714,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Adult",10,"Phylum","Subclass"
"Metillo_2011","Acetes_intermedius",2970917,35,28,0.8,"Arthropods","Ectotherm",0.006,"Marine",8.2,-124.1,"Months",1.38,"100m",2,1999,1999-01-01,11,"Gut content (lethal)","Sub-population","Juvenile",8,"Phylum","Subclass"
