Species,Period_years,Mass_g,Temp_AT,Temp_GST,Gen_Time_days,Series_Length_years,Lat,Signif,Method,RefPeriod,RefM,RefT,RefGT
Bonasa umbellus,8,532,41.5,,120,29,,n.s.,Spect,1-3,4,5,6
Bonasa umbellus,9.9,532,41.5,,120,25,,n.s.,Spect,7. 2. 3,4,5,6
Bonasa umbellus,11*,532,41.5,,120,35,,sig,Spect,8. 2. 3,4,5,6
Bonasa umbellus,14.7,532,41.5,,120,33,,n.s.,Spect,1-3,4,5,6
Bonasa umbellus,16,532,41.5,,120,42,,n.s.,Spect,1-3,4,5,6
Branta bernicla,15,1464,40.5,,730,47,,n.s.,Spect,9. 3,5,5,4
Callipepla squamata,5,191,41.5,,363.5,24,,sig,Spect,10,4,5,4
Callipepla squamata,6.3,191,41.5,,363.5,24,,sig,Spect,10,4,5,4
Callipepla squamata,12.5,191,41.5,,363.5,24,,sig,Spect,10,4,5,4
Colinus virginianus,5,173.3,41.5,,364.2,24,,sig,Spect,10,4,5,4
Colinus virginianus,5,173.3,41.5,,364.2,24,,sig,Spect,10,4,5,4
Colinus virginianus,6.3,173.3,41.5,,364.2,24,,sig,Spect,10,4,5,4
Colinus virginianus,8.9,173.3,41.5,,364.2,31,,n.s.,Spect,11. 3,4,5,4
Colinus virginianus,12.5,173.3,41.5,,364.2,24,,sig,Spect,10,4,5,4
Cyanistes caeruleus,12.6,11.2,41.5,,365,31,,n.s.,Spect,12. 3,4,5,4
Falcipennis canadensis,6.67,460,42,,365,19,,n.s.,Spect,1-3,5,5,4
Lagopus lagopus,4,620,41.7,,364.2,13,,n.s.,Spect,7. 3,5,5,4
Lagopus lagopus,10,620,41.7,,364.2,30,,,Subj,13,5,5,4
Lagopus lagopus,12.6,620,41.7,,364.2,41,,n.s.,Spect,14. 3,5,5,4
Lagopus lagopus scoticus,5.6,625,41.5,,364.2,50,,n.s.,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,5.67,625,41.5,,364.2,52,,sig,Spect,16. 3,3,5,4
Lagopus lagopus scoticus,6,625,41.5,,364.2,112,,sig,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,6,625,41.5,,364.2,97,,n.s.,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,6.08,625,,,364.2,57,,sig,Spect,16. 3,3,5,4
Lagopus lagopus scoticus,6.26,625,41.5,,364.2,56,,sig,Spect,16. 3,3,5,4
Lagopus lagopus scoticus,8,625,41.5,,364.2,75,,n.s.,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,9.04,625,41.5,,364.2,79,,n.s.,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,11.11,625,41.5,,364.2,77,,sig,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,11.3,625,41.5,,364.2,72,,sig,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,18.9,625,41.5,,364.2,99,,n.s.,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,23,625,41.5,,364.2,95,,sig,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,23,625,,,364.2,87,,sig,Spect,15. 2. 3,3,5,4
Lagopus lagopus scoticus,25.3,625,41.5,,364.2,59,,sig,Spect,15. 2. 3,3,5,4
Lagopus lagopus,35,625,41.5,,364.2,107,,sig,Spect,17. 3,3,5,4
Lagopus mutus,11.9,420,42.3,,363.5,75,,n.s.,Spect,7. 2. 3,5,5,4
Lagopus mutus,12,420,42.3,,363.5,55,,sig,Spect,18. 3,5,5,4
Lagopus mutus,15.4,420,42.3,,363.5,81,,n.s.,Spect,15. 2. 3,5,5,4
Perdix perdix,34,405.5,41.5,,364.2,141,,sig,Spect,16. 3,4,5,4
