Taxon,Taxon2,Body mass g,Ash-free energy content kJ/g
Vertebrate,Vertebrate: Thomomys talpoides,110,24.56008
Vertebrate,Vertebrate: Mus musculus,40,24.41364
Vertebrate,Vertebrate: Passer domesticus,22,24.468032
Vertebrate,Vertebrate: Cyanositta cristata,85,24.12076
Vertebrate,Turtle: Pseudemys scripta,3000,27.6144
Vertebrate,Lizard: Urosaurus ornatus,7,26.7776
Vertebrate,Lizard: Scelopterus undulatus,15,28.0328
Vertebrate,Frog: Rana pipiens,45,24.6856
Vertebrate,Salamamder: Ambystoma punctatum,15,25.104
Invertebrate,Insect: Tenebrio mollitor,0.1,26.417776
Invertebrate,Insect: Melanoplus femurrubrum,0.35,22.543392
Invertebrate,Insect: Blattela germanica,0.1,24.229544
Invertebrate,Mite: Tyroglyphus linterni,0.000001,24.300672
Invertebrate,Spider: Drassyllus virginia,0.035,24.242096
Invertebrate,Spider: Tetragnatha versicolor,0.05,21.601992
Invertebrate,Spider: Pirata piraticus,0.045,22.02876
Invertebrate,Earthworm: Lumbricus sp,8.9,23.547552
Plant,Clubmoss: Lycopodium annotium,20,20.802848
Lichen,Lichen: Cladonia spp.,50,18.0958
Lichen,Lichen: Sterocaulon paschale,40,19.313344
Plant,Moss: Calliergon spp.,25,18.45144
Plant,Moss: Polytrichum juniperinum,10,19.99952
Plant,Angiosperm: Potentilla spp. ,18,19.610408
Plant,Angiosperm: Liriodendron tulipifera,1500000,20.664776
Plant,Angiosperm: Betula sp. ,200000,21.719144
Plant,Angiosperm grass: Trisetum spicatum,20,19.150168
Plant,Gymnosperm: Pinus strobus,220000,22.13336
Plant,Gymnosperm: Thuja occidentalis,170000,21.966
Vertebrate,Vertebrate: Bluegill: Lepomis machrochirus,355,20.811216
Vertebrate,"Vertebrate: Pacific herring, Clupea palasi",100,28.40936
Vertebrate,Vertebrate: Triglops sp.,44,23.47224
Vertebrate,"Vertebrate: Skate, Raja orinacea",18,23.4304
Invertebrate,Squid: Boreal clubhook,750,27.65624
Invertebrate,Squid: Magistrate armhook,500,26.69392
Invertebrate,Brachyopoda: Glottidia pyramidata,0.33,18.321736
Invertebrate,Insect: Glyptotendipes sp.,0.004,21.823744
Invertebrate,Insect: Pycnopsyche lepida,0.08,20.631304
Invertebrate,Crustacea: CrayVertebrate Cambarus tenebrosus,50,20.802848
Invertebrate,Crustacea: Pandalus momtagui,6.5,24.179336
Invertebrate,"Crustacea, Cladocera: Leptodora kindtii",0.0001,23.45132
Invertebrate,"Crustacea, Copepoda: Tigriopus californicus",0.0005,23.07476
Invertebrate,"Crustacea, Copepoda: Calanus helgolandicus",0.0001,22.5936
Invertebrate,Crustacea: Daphnia magna,0.00089,23.865536
Invertebrate,Polychete: Strenelais articulata,0.12,19.6648
Invertebrate,Clam: Sphaerium sp.,5,19.911656
Invertebrate,Snail: Novisuccinea ovalis,0.5,22.65636
Invertebrate,Snail: Philomycus carolinianus,8,19.752664
Invertebrate,Nudibranch: Hermissenda crassicornis,10,22.869744
Invertebrate,Coelenterate: Chlorohydra viridissima,0.0002,23.970136
Invertebrate,Coelenterate: Hydra littoralis,0.0002,25.246256
Invertebrate,Flatworm: Dugesia tigrina,0.017,26.300624
Invertebrate,Flatworm: Bipalium kewense,1,23.781856
Invertebrate,Flatworm: Phagocata gracilis,0.01,26.681368
Invertebrate,Sponge: Spongilla lacustris,20,27.0914
Plant,Freshwater aquatic plant: Myriophyllum spp.,10,24.66468
Plant,Water lilly: Nymphaea spp.,1000,19.212928
Plant,Sedge: Carex spp.,0.23,18.781976
Plant,Pond weed: Potomageton spp. ,0.1,19.070672
Bacterium,Cyanonacteria: Microcystis sp.,6.5E-11,20.003704
Alga,Red alga: Polysiphonia sp. ,50,20.41792
Alga,Red alga: Delesseria deciplenus,20,22.76096
Alga,Red alga: Gigartina sp. ,2000,18.17948
Alga,Brown alga: Fucus distichus,0.22,19.41376
Alga,Brown alga: Laminaria spp. ,1500,18.351024
Alga,Brown alga: Agarum spp.,10,18.63972
Alga,Brown alga: Desmarestia ,1000,18.602064
Alga,Green alga: Chara sp. ,10,18.622984
Alga,Green alga (diatom): Nitzschia pandora,0.000000003,22.88648
Alga,Green alga: Codium fragile,7.3,18.91168
Alga,Green alga: Ulva spp.,15,20.66896
Alga,Green alga: Monostroma fuscum,10,21.67312
Alga,Green alga: Chlamydomonas reinhadri,0.00015,23.037104
Protist,Protist: Tetrahymena pyraformis,0.005,24.844592
Bacterium,Bacteria: Escherichia coli,1.2E-12,23.133336
