Taxon,Genus,Species,Dry mass g,Temp. oC,Uncorrected mortality rate y-1,log10 Dry mass g,log10 Generation time at 20oC y
Bird,Accipiter,cooperii,109.8,40,0.213,2.04060234,1.38534268
Bird,Accipiter,cooperii,132.3,40,0.244,2.121559844,1.326332457
Bird,Accipiter,cooperii,132.3,40,0.345,2.121559844,1.175903188
Bird,Accipiter,gentilis,256.1,40,0.133,2.408409578,1.589870642
Bird,Accipiter,gentilis,256.1,40,0.133,2.408409578,1.589870642
Bird,Accipiter,gentilis,256.1,40,0.196,2.408409578,1.421466212
Bird,Accipiter,gentilis,284.3,40,0.196,2.45377686,1.421466212
Bird,Accipiter,gentilis,284.3,40,0.199,2.45377686,1.414869207
Bird,Accipiter,nisus,50.5,40,0.201,1.703291378,1.410526226
Bird,Accipiter,nisus,59.38,40,0.169,1.773640193,1.485835579
Bird,Accipiter,nisus,59.38,40,0.164,1.773640193,1.498878435
Bird,Accipiter,striatus,43.5,40,0.262,1.638489257,1.295420992
Bird,Acridotheres,cristatellus,28.25,40,0.228,1.451018452,1.355787436
Bird,Aechmophorus,accidentalis,369.3,40,0.394,2.567379308,1.118226061
Bird,Aechmophorus,occidentalis,369.3,40,0.182,2.567379308,1.453650895
Bird,Aegolius,acadicus,20.71,40,0.35,1.316180099,1.169654239
Bird,Aegolius,acadicus,20.71,40,0.355,1.316180099,1.16349393
Bird,Aegolius,acadicus,20.71,40,0.37,1.316180099,1.145520559
Bird,Aegolius,funereus,33.5,40,0.233,1.525044807,1.346366362
Bird,Aegolius,funereus,33.5,40,0.794,1.525044807,0.813901781
Bird,Aeronautes,sexatilis,8.025,40,0.459,0.904445041,1.051909598
Bird,Aethia,cristatella,66,40,0.34,1.819543936,1.182243366
Bird,Aethia,pusilla,21,40,0.602,1.322219295,0.934125792
Bird,Agelaius,phoeniceus,15.9,40,0.161,1.201397124,1.506896407
Bird,Aimophila,aestivalis,4.913,40,0.909,0.691346764,0.7551584
Bird,Aimophila,quinquestriata,4.763,40,0.667,0.677880582,0.889596449
