No.,Family,Genus name,Species name,Adult female mass,Source (female mass),Gestation length,First source (gestation),Gestation length (2),Second source (gestation),Litter size.,First source (litter size),Litter size. (2),Second source (litter size),Litter size. (3),Third source (litter size),Age at weaning,First source (age at weaning),Age at weaning.,Second source (age at weaning),Age at weaning. (2),Third source (age at weaning),Inter-birth interval.,First source (inter-birth interval),Inter-birth interval. (2),Second source (inter-birth interval),Female age at maturity,First source (age at maturity),Female age at maturity.,Second source (age at maturity),Female age at maturity (2),Third source (age at maturity),Maximum lifespan,First source (lifespan),Maximum lifespan (2),Second source (lifespan),Mass at birth,First source (mass at birth),Mass at birth (2),Second source (mass at birth),Mass at pouch vacation,First source (mass at pouch vacation),Mass at pouch vacation (2),Second source (mass at pouch vacation),Mass at pouch vacation (3),Third source (mass at pouch vacation),Mass at weaning,First source (mass at weaning),Mass at weaning (2),Second source (mass at weaning),Mass at weaning (3),Third source (mass at weaning),Female mass at maturity,Source (mass at maturity),diet type,First source (diet),Second source (diet),Mean group size,First source (group size),Mean group size (2),Second source (group size),Mean group size (3),Third source (group size),Population density,First source (density),Population density.,Second source (density),Population density. (2),Third source (density),Mean annual rainfall,Source (rainfall),diurnality,Source (diurnality),shelter type,Source (shelter),arboreality,Source (arboreality)
1,Acrobatidae,Acrobates,pygmaeus,12,Woodside 1995,_,_,_,_,2.8,Ward 1990b,2.7,Fleming & Frey 1984,_,_,100,Ward 1990b,95,Fleming & Frey 1984,_,_,183,Woodside 1995,_,_,240,Tyndale-Biscoe 1984,_,_,_,_,3,Ward 1990b,4,Collins 1973,0.018,Ward 1990b,_,_,1.7,Ward 1990b,1.5,Fleming & Frey 1984,_,_,8.25,Ward 1990b,7,Fleming & Frey 1984,_,_,_,_,2,Woodside 1995.,Huang et al. 1987,1,Woodside 1995,_,_,_,_,9,Ward 1988,_,_,_,_,800,AUSLIG 1980,2,Woodside 1995,1,Woodside 1995,1,Ward 1990b
2,Potoroidae,Aepyprymnus.,rufescens,2500,Dennis & Johnson 1995b,22,Dennis & Johnson 1995b,23,Johnson 1978,1,Dennis & Johnson 1995b,_,_,_,_,164,Johnson 1978,161,Dennis & Johnson 1995b,_,_,115,Lavery 1985,_,_,313,Johnson 1978,255,Seebeck et al. 1989,_,_,8,Collins 1973,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,4,Dennis & Johnson 1995b.,Seebeck et al. 1989,1.2,Frederick & Johnson 1996,1.1,Seebeck et al. 1989,_,_,0.4,Seebeck et al. 1989,2.4,pers. comm. A. Dennis,0.09,pers. Obs C.N. Johnson,700,AUSLIG 1980,2,Dennis & Johnson 1995b,2,Dennis & Johnson 1995b,2,Dennis & Johnson 1995b
3,Dasyuridae,Antechinomys,laniger,20,Valente 1995,12,Woolley 1984,_,_,6,Woolley 1984,_,_,_,_,90,Valente 1995,101,Happold 1972,_,_,183,Valente 1995,_,_,345,Woolley 1984,_,_,_,_,3,Valente 1995,3.3,Woolley 1984,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Valente 1995,_,1,Valente 1995,_,_,_,_,_,_,_,_,_,_,150,AUSLIG 1980,2,Valente 1995,1,Valente 1995,2,Valente 1995
4,Dasyuridae,Antechinus,agilis,18,Dickman 1995a,27,Dickman 1995a,27,Selwood 1980,10,Dickman 1995a,_,_,_,_,90,Dickman 1995a,_,_,_,_,365,Dickman 1995a,_,_,330,Dickman 1995a,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,10,Cockburn 1992,_,_,_,_,_,_,3,Dickman 1995a,_,1,Cockburn 1992,_,_,_,_,7.11,Hall & Lee 1982,2.27,Wilson 1991,15,Wilson et al. 1986,1400,AUSLIG 1980,2,Cockburn 1992,1,Dickman 1995a,1,Cockburn & Lazenby-Cohen 1992
5,Dasyuridae,Antechinus,bellus,34,Calaby 1995b,30,Friend 1985,_,_,10,Friend 1985,_,_,_,_,97,Calaby 1995b,95,Friend 1985,_,_,365,Calaby 1995b,_,_,350,Friend 1985,_,_,_,_,2,Calaby 1995b,2.3,Friend 1985,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Calaby 1995b,_,1,Calaby 1995b,_,_,_,_,1.6,Friend 1985,_,_,_,_,1390,Friend 1985,2,Calaby 1995b,2,Calaby 1995b,2,Calaby & Taylor 1981
6,Dasyuridae,Antechinus,flavipes,34,Van Dyck 1995d,28,Van Dyck 1995d,25,Smith 1984b,8.4,Smith 1984b,_,_,_,_,90,Van Dyck 1995d,_,_,_,_,365,Van Dyck 1995d,_,_,345,Smith 1984b,_,_,_,_,3.5,Smith 1984b,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Van Dyck 1995d,_,1,Smith 1984b,_,_,_,_,6.5,Traill & Coates 1993,7.3,Smith 1984b,_,_,1000,AUSLIG 1980,1,Traill & Coates 1993,2,Van Dyck 1995d,2,Traill & Coates 1993
7,Dasyuridae,Antechinus,godmani,61,Watt 1997,_,_,_,_,6,Watt 1997,_,_,_,_,112,Watt 1997,_,_,_,_,365,Van Dyck 1995a,_,_,330,Watt 1997,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Van Dyck 1995a,_,1,Watt 1997,_,_,_,_,0.053,Watt 1997,_,_,_,_,1500,Van Dyck 1993,1,Van Dyck 1995a,1,Van Dyck 1995a,1,Watt 1997
8,Dasyuridae,Antechinus,leo,54,Leung 1995,31,Leung 1999,_,_,9.6,Leung 1999,_,_,_,_,77,Leung 1995,_,_,_,_,365,Leung 1995,_,_,350,Leung 1999,_,_,_,_,2,Leung 1995,_,_,_,_,_,_,_,_,_,_,_,_,26,Leung 1999,_,_,_,_,_,_,3,Leung 1995,_,1,Leung 1999,_,_,_,_,1.62,pers. comm. L. K-P. Leung,_,_,_,_,1270,Van Dyck 1980,2,Leung 1995,1,Leung 1995,1,Leung 1999
9,Dasyuridae,Antechinus,minimus,42,Wainer & Wilson 1995,28,Wainer & Wilson 1995,_,_,7.4,Wainer 1976,_,_,_,_,90,Wainer & Wilson 1995,120,Wainer 1976,_,_,365,Wainer & Wilson 1995,_,_,345,Wilson 1986,_,_,_,_,2,Wilson 1986,_,_,0.04,Wilson 1986,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Wainer & Wilson 1995,Wainer 1976,1,Wilson 1986,_,_,_,_,14,Wainer & Wilson 1995,_,_,_,_,1200,AUSLIG 1980,2,Wainer & Wilson 1995,2,Wainer & Wilson 1995,2,Wilson 1986
10,Dasyuridae,Antechinus,stuartii,20,Braithwaite 1995a,27,Braithwaite 1995a,_,_,6.8,Marlow 1961,7.5,Wood 1970,_,_,90,Braithwaite 1995a,_,_,_,_,365,Braithwaite 1995a,_,_,320,Marlow 1961,_,_,_,_,2,Braithwaite 1995a,_,_,0.0164,Marlow 1961,_,_,_,_,_,_,_,_,16,Wood 1970,_,_,_,_,20,Braithwaite 1995a,3,Braithwaite 1995a,_,1,Braithwaite 1995a,_,_,_,_,2.3,Statham & Harden 1982.,4.7,Kemper 1990,1.6,Dickman 1980,1200,AUSLIG 1980,2,Braithwaite 1995a,2,Braithwaite 1995a,2,Wood 1970
11,Dasyuridae,Antechinus,swainsonii,41,Dickman 1995b,28,Dickman 1995b,_,_,8,Dickman 1986,_,_,_,_,90,Dickman 1995b,98,Williams & Williams 1982,_,_,365,Dickman 1995b,_,_,330,Dickman 1995b,_,_,_,_,2,Dickman 1995b,_,_,_,_,_,_,5.2,Williams & Williams 1982,_,_,_,_,15,Dickman 1986,_,_,_,_,_,_,3,Dickman 1995b,_,1,Hall 1980,_,_,_,_,1.78,Hall & Lee 1982,9.77,Dickman 1986,9.72,Carron 1985,1200,AUSLIG 1980,1,Hall 1980,1,Dickman 1995b,2,Dickman 1995b
12,Potoroidae,Bettongia,gaimardi,1660,Rose & Johnson 1995,21,Rose & Johnson 1995,_,_,1,Rose & Johnson 1995,_,_,_,_,155,Rose & Johnson 1995,_,_,_,_,107,Rose & Johnson 1995,_,_,315,Seebeck et al. 1989,365,Rose & Johnson 1995,_,_,7,Pers comm. R. Rose,_,_,0.307,Rose 1989b,_,_,381,Rose 1989a,_,_,_,_,700,Rose 1989b,_,_,_,_,1500,Rose 1989b,4,Taylor 1992,_,1,Rose & Johnson 1995,_,_,_,_,0.19,Taylor 1993,_,_,_,_,800,AUSLIG 1980,2,Rose & Johnson 1995,2,Rose & Johnson 1995,2,Rose & Johnson 1995
13,Potoroidae,Bettongia,lesueur,1300,Burbidge 1995a,21,Tyndale-Biscoe 1968,_,_,1,Tyndale-Biscoe 1968,_,_,_,_,165,Tyndale-Biscoe 1968,_,_,_,_,117,Burbidge 1995a,_,_,150,Burbidge 1995a,280,Tyndale-Biscoe 1968,225,Short & Turner 1999,10,Pers. comm. J. Short,_,_,0.317,Tyndale-Biscoe 1968,_,_,200,Tyndale-Biscoe 1968,230,Lee & Ward 1989,_,_,500,Lee & Ward 1989,400,Short & Turner 1999,_,_,875,Short & Turner 1999,4,Burbidge 1995a,_,1.1,Short & Turner 1999,1.1,Burbidge 1995a,_,_,0.17,Short & Turner 1993,_,_,_,_,252,Short & Turner 1999,2,Burbidge 1995a,1,Burbidge 1995a,2,Seebeck et al. 1989
14,Potoroidae,Bettongia,penicillata,1300,Christensen 1995a,21,Smith 1989,_,_,1,Smith 1989,_,_,_,_,150,Delroy et al. 1986,_,_,_,_,102,Christensen 1980,_,_,170,Delroy et al. 1986,175,Christensen 1995a,_,_,6,Christensen 1995a,_,_,0.29,Lee & Ward 1989,_,_,220,Delroy et al. 1986,300,Pers. comm. J. Courtenay,_,_,500,Delroy et al. 1986,_,_,_,_,_,_,4,Christensen 1980,_,1.1,Christensen 1980,_,_,_,_,0.45,Christensen 1980,0.07,Sampson 1971,_,_,1600,AUSLIG 1980,2,Christensen 1995a,2,Christensen 1980,2,Christensen 1980
15,Potoroidae,Bettongia,tropica,1200,Winter & Johnson 1995,18,Winter & Johnson 1995,21,Smith 1998,1,Winter & Johnson 1995,_,_,_,_,150,Winter & Johnson 1995,_,_,_,_,105,Smith 1998,_,_,301,Smith 1998,_,_,_,_,7,Smith 1998,_,_,_,_,_,_,200,pers. comm. L. Pope & K. Vernes,_,_,_,_,_,_,_,_,_,_,1100,Smith 1998,4,Johnson & McIlwee 1997,_,1,Winter & Johnson 1995,_,_,_,_,0.2,pers. comm. L. Pope,_,_,_,_,1275,AUSLIG 1980,2,Winter & Johnson 1995,2,Winter & Johnson 1995,2,Winter & Johnson 1995
16,Burramyidae,Burramys,parvus,42,Broome 1995,14.5,Broome 1995,15,Kerle 1984,3.6,Mansergh & Scottss 1990,_,_,_,_,71,Mansergh & Scottss 1990,70,Tyndale-Biscoe 1984,60,Kerle 1984,365,Broome 1995,_,_,345,Mansergh & Scotts 1990,720,Tyndale-Biscoe 1984,_,_,12,Broome 1995,11,Mansergh & Scotts 1990,_,_,_,_,4.5,Mansergh & Broome 1994,4,Mansergh & Scottss 1990,_,_,16,Mansergh & Broome 1994,18,Mansergh & Scottss 1990,_,_,_,_,3,Mansergh & Broome 1994,Mansergh et al. 1990,1,Mansergh & Broome 1994,_,_,_,_,61.25,Broome 1995,_,_,_,_,2000,AUSLIG 1980,2,Broome 1995,2,Broome 1995,2,Mansergh & Scott 1990
17,Caenolestidae,Caenolestes,fuliginosus,35,Kirsch & Waller 1979,_,_,_,_,3.75,Kirsch & Waller 1979,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,3,Kirsch & Waller 1979.,Hunsaker 1977,1,Kirsch & Waller 1979,_,_,_,_,_,_,_,_,_,_,_,_,2,Kirsch & Waller 1979,_,_,_,Kirsch & Waller 1979
18,Potoroidae,Caloprymnus,campestris,890,Smith 1995c,_,_,_,_,1,Smith 1995c,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,Smith 1995c,_,_,_,_,_,_,_,_,_,_,150,AUSLIG 1980,2,Smith 1995c,2,Smith 1995c,2,Smith 1995c
