Genus,Species,M,T,RBT,RSA,M,T,RBT,RSA
Alca,torda,487,41.3,0.23,14030,-1,-2,-1,-1
Alectura,lathami,1100,40.2,0.392,42950,-3,-4,-3,-3
Amaurornis,phoenicurus,146,38.6,0.204,,-5,-6,-5,
Anas,platyrhynchos,1040,41.3,0.133,29700,-1,-2,-1,-1
Anser,anser,3838,42.1,0.117,88700,-1,-2,-1,-1
Cepphus,carbo,737,40.4,0.19,19300,-1,-2,-1,-1
Chroicocephalus,ridibundus,253,41.2,0.15,6060,-1,-2,-7,-7
Colibri,coruscans,6,42.5,0.1,541,-7,-2,-7,-7
Columba,livia,216,41,0.161,8600,-1,-2,-1,-1
Dromaius,novaehollandiae,30000,38,0.232,162800,-5,-2,-5,-5
Falco,tinnunculus,66,40.6,0.21,5250,-1,-2,-1,-1
Gallus,gallus,2141,40.1,0.318,20800,-1,-8,-1,-1
Lanius,collaris,33,41.6,0.17,1210,-1,-2,-1,-1
Larus,argentatus,654,41.2,0.15,14600,-1,-2,-1,-1
Larus,canus,302,40.7,0.12,6300,-1,-2,-1,-1
Numida,meleagris,1839,43.3,0.32,,-5,-2,-5,
Passer,domesticus,25,42.2,0.096,1700,-7,-2,-7,-7
Ptyonoprogne,fuligula,14,41.4,0.09,1200,-1,-2,-1,-1
Spheniscus,humboldti,4500,39,0.53,81450,-5,-9,-5,-5
Struthio,camelus,40000,38,0.56,1204000,-5,-10,-5,-5
Sturnus,vulgaris,73,41.5,0.14,3580,-1,-2,-1,-1
Turdus,iliacus,51,40.5,0.12,1710,-1,-2,-1,-1
Turdus,olivaceus,65,42.1,0.13,2370,-1,-2,-1,-1
Alopex,lagopus,4270,38.5,0.5,112500,-11,-2,-11,-11
Bos,indicus,192500,38.4,0.5,3792500,-12,-2,-12,-12
Bos,taurus,700000,39,0.51,12105000,-12,-13,-12,-12
Camelus,dromedarius,231700,37.2,0.6,2725000,-12,-2,-12,-12
Canis,familiaris,23400,38.4,0.52,,-5,-2,-5,
Capra,hircus,20900,39.5,0.54,445000,-12,-2,-12,-12
Cavia,porcellus,429,39,0.42,9100,-14,-2,-14,-14
Connochaetes,taurinus,102000,38,0.37,2813000,-12,-15,-12,-12
Cynopterus,brachyotis,37,36.5,0.282,1070,-16,-2,-16,-16
Dasyuroides,byrnei,120,35.2,0.38,3300,-17,-2,-17,-17
Equus,caballus,510000,37.4,0.6,16630000,-12,-13,-12,-12
Galago,senegalensis,1120,37.9,0.36,,-5,-2,-5,
Genetta,tigrina,1373,38.5,0.506,49300,-1,-18,-1,-1
Giraffa,camelopardalis,383000,38.5,0.6,5516000,-12,-2,-12,-12
Heterocephalus,glaber,31,31,0.25,,-19,-19,-19,
Homo,sapiens,74000,36.8,0.62,1259000,-12,-13,-12,-12
