species,subclass,taxonomic group,locomotion mode,thermoregulation,body mass [kg],mass.ref,max. speed [km/h],speed_ref,primary diet
Aeshna cyanea,NA,arthropod,flying,ectotherm,4.22E-04,28,36,70,carnivore
Anax junius,NA,arthropod,flying,ectotherm,4.50E-04,28,27,70,carnivore
Anax parthenope julius,NA,arthropod,flying,ectotherm,3.90E-04,28,25.92,4,carnivore
Anax sp.,NA,arthropod,flying,ectotherm,0.0138,11,36,11,carnivore
Anopheles ziemanni,NA,arthropod,flying,ectotherm,5.22E-06,92,6.48,36,carnivore
Anthonomus grandis,NA,arthropod,flying,ectotherm,6.86E-06,94,4.8,55,herbivore
Culex pipiens,NA,arthropod,flying,ectotherm,1.30E-06,51,3.6,19,carnivore
Drosophila hydei,NA,arthropod,flying,ectotherm,1.76E-07,64,3.24,25,herbivore
Drosophila melanogaster,NA,arthropod,flying,ectotherm,7.47E-07,11,6.84,11,herbivore
Drosophila melanogaster,NA,arthropod,flying,ectotherm,7.89E-08,64,3.06,52,herbivore
Drosophila virilis,NA,arthropod,flying,ectotherm,2.05E-07,64,4.32,81,herbivore
Eristalis sp.,NA,arthropod,flying,ectotherm,9.00E-05,37,36,20,herbivore
Volucella pellucens,NA,arthropod,flying,ectotherm,1.70E-04,37,36,20,herbivore
Euglossa imperialis,NA,arthropod,flying,ectotherm,0.0015,29,25.56,21,herbivore
Leptocorisa chinensis,NA,arthropod,flying,ectotherm,4.73E-05,42,6,77,herbivore
Manduca sexta,NA,arthropod,flying,ectotherm,0.002,29,19.08,75,herbivore
Manduca sexta,NA,arthropod,flying,ectotherm,0.002,29,18,86,herbivore
Riptortus pedestris,NA,arthropod,flying,ectotherm,6.52E-05,47,10.8,77,herbivore
Tabanus affinis,NA,arthropod,flying,ectotherm,1.01E-04,11,23.76,11,carnivore
Accipiter striatus,NA,bird,flying,endotherm,0.0965,30,64,12,carnivore
Anas acuta,NA,bird,flying,endotherm,0.947,30,82.08,11,omnivore
Anas platyrhynchos,NA,bird,flying,endotherm,1.14,30,105,101,omnivore
Apus apus,NA,bird,flying,endotherm,0.058,11,91.8,11,carnivore
Aquila chrysaetos,NA,bird,flying,endotherm,4.2635,30,129,93,carnivore
Archilochus colubris,NA,bird,flying,endotherm,0.0075,11,40.32,11,herbivore
Buteo jamaicensis,NA,bird,flying,endotherm,1.11,30,195,101,carnivore
Calypte anna,NA,bird,flying,endotherm,0.0044,56,56.16,17,herbivore
Chen caerulescens,NA,bird,flying,endotherm,2.641,30,185,46,herbivore
Columba livia,NA,bird,flying,endotherm,0.3545,30,136.8,101,herbivore
Cygnus columbianus,NA,bird,flying,endotherm,6.75,30,135,31,omnivore
Cygnus columbianus bewickii,NA,bird,flying,endotherm,6.05,11,67.68,11,omnivore
Cygnus cygnus,NA,bird,flying,endotherm,9.35,30,88,39,omnivore
Diomedea exulans,NA,bird,flying,endotherm,8.19,30,127,71,carnivore
Falco peregrinus,NA,bird,flying,endotherm,0.78,30,110,96,carnivore
Fregata aquila,NA,bird,flying,endotherm,1.5,101,153,101,carnivore
Gymnogyps californianus,NA,bird,flying,endotherm,4.49,30,90,101,carnivore
Hirundapus caudacutus,NA,bird,flying,endotherm,0.096,30,170,101,carnivore
Mergus serrator,NA,bird,flying,endotherm,1.02,30,129,101,carnivore
Morus bassanus,NA,bird,flying,endotherm,3,30,100,101,carnivore
Numenius phaeopus,NA,bird,flying,endotherm,0.366,30,83.52,11,carnivore
Nymphicus hollandicus,NA,bird,flying,endotherm,0.088,30,46.8,41,herbivore
Otis tarda,NA,bird,flying,endotherm,10.55,30,80,43,herbivore
Pelecanus onocrotalus,NA,bird,flying,endotherm,9.52,30,82.08,11,carnivore
Phylloscopus trochilus,NA,bird,flying,endotherm,0.0087,30,43.2,11,carnivore
Plectropterus gambensis,NA,bird,flying,endotherm,3.869,30,142,101,omnivore
Somateria mollissima,NA,bird,flying,endotherm,2.07,30,113,101,carnivore
Thalassarche chrysostoma,NA,bird,flying,endotherm,3.51,30,127,14,carnivore
Xanthocephalus xanthocephalus,NA,bird,flying,endotherm,0.0646,30,56.33,23,omnivore
Chalinolobus tuberculatus,NA,mammal,flying,endotherm,0.0085,60,60,60,carnivore
Euderma maculatum,NA,mammal,flying,endotherm,0.0162,56,53,15,carnivore
Glossophaga soricina,NA,mammal,flying,endotherm,0.0103,56,37.8,88,herbivore
Lasiurus borealis,NA,mammal,flying,endotherm,0.013,56,64,62,carnivore
Lasiurus semotus,NA,mammal,flying,endotherm,0.02603,56,54.72,62,carnivore
Nyctinomops macrotis,NA,mammal,flying,endotherm,0.023,56,61,22,carnivore
Tadarida brasiliensis,NA,mammal,flying,endotherm,0.0125,56,96.5,26,carnivore
Agelenopsis aperta,NA,arthropod,running,ectotherm,1.28E-04,3,0.933,66,carnivore
Argiope keyserlingi,NA,arthropod,running,ectotherm,4.02E-06,65,1.2,65,carnivore
Blaberus discoidalis,NA,arthropod,running,ectotherm,0.003,76,1.998,76,omnivore
Carabinae,NA,arthropod,running,ectotherm,8.68E-05,32,2.14,32,carnivore
Carabinae,NA,arthropod,running,ectotherm,8.85E-05,32,2.24,32,carnivore
Carabinae,NA,arthropod,running,ectotherm,7.28E-05,32,2.25,32,carnivore
Carabinae,NA,arthropod,running,ectotherm,1.40E-04,32,2.27,32,carnivore
Cataglyphis sp.,NA,arthropod,running,ectotherm,1.55E-05,83,2.088,40,carnivore
Cicindela eburneola,NA,arthropod,running,ectotherm,3.89E-05,45,6.696,45,carnivore
Cicindela hudsoni,NA,arthropod,running,ectotherm,2.00E-04,45,9,45,carnivore
Cicindela leucothrix,NA,arthropod,running,ectotherm,6.20E-05,45,3.67,45,carnivore
Cicindela repanda,NA,arthropod,running,ectotherm,4.76E-05,87,1.91,35,carnivore
Cicindela saetigera,NA,arthropod,running,ectotherm,7.08E-05,45,5.04,45,carnivore
Cicindela salicursoria,NA,arthropod,running,ectotherm,4.36E-05,45,5.29,45,carnivore
Cicindela velox,NA,arthropod,running,ectotherm,8.60E-05,45,6.95,45,carnivore
Dolomedes fimbriatus,NA,arthropod,running,ectotherm,1.87E-04,9,0.976,9,carnivore
Dolomedes plantarius,NA,arthropod,running,ectotherm,1.79E-04,67,2.7,38,carnivore
Dolomedes triton,NA,arthropod,running,ectotherm,4.00E-04,9,1.14,9,carnivore
Hogna carolinensis,female,arthropod,running,ectotherm,1.26E-04,57,4.5,57,carnivore
Hogna carolinensis,male,arthropod,running,ectotherm,1.02E-04,57,4.73,57,carnivore
Hololena adnexa,NA,arthropod,running,ectotherm,2.64E-05,74,2.16,74,carnivore
Hololena curta,NA,arthropod,running,ectotherm,2.64E-05,74,1.83,74,carnivore
insect,NA,arthropod,running,ectotherm,0.001,7,3.6,7,herbivore
insect,NA,arthropod,running,ectotherm,0.001,7,5.4,7,herbivore
insect,NA,arthropod,running,ectotherm,0.05,7,2.88,7,herbivore
Ocymyrmex barbiger,NA,arthropod,running,ectotherm,4.10E-06,53,1.38,53,omnivore
Paratarsotomus macropalpis,NA,arthropod,running,ectotherm,1.82E-07,89,0.5,89,carnivore
Paratarsotomus macropalpis,NA,arthropod,running,ectotherm,2.68E-07,69,0.63,69,carnivore
