species,order,family,lifestyle,trophic_level,aspect_ratio,MMRsource,MMRmass,MMRtemp,MMR1kg15deg,MMRref,RMRsource,RMRmass,RMRtemp,RMR1kg15deg,RMRref,Brain_brainmass,Brain_bodymass,Brain_percent,Gill_meanSA,Gill_bodymass,Liver_bodymass,Liver_temp,LiverHSI,MuscleFatfreeprotein
Abbottina_rivularis,Cyrpiniformes,Cyprinidae,benthopelagic,2.9,NA,2.77,15.90,25.00,95.07,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.71,15.90,25.00,22.11,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthochromis_polyacanthus,Perciformes,Pomacentridae,benthopelagic,2.7,NA,2.37,2.57,27.00,419.93,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",1.39,2.57,27.00,223.27,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonus_cataphractus,Scorpaeniformes,Agonidae,benthic,3.4,NA,NA,NA,NA,,NA,2.10,13.00,4.00,219.19,"Johnston, I. A., Clarke, A., & Ward, P. (1991). Temperature and metabolic rate in sedentary fish from the Antarctic, North Sea and Indo-West Pacific Ocean. Marine Biology, 109(2), 191-195.",0.043,8.000,0.531,NA,NA,NA,NA,NA,NA
Ammodytes_tobianus,Perciformes,Ammodytidae,benthic,3.11,NA,1.59,3.30,10.00,400.87,"Behrens, J. W., & Steffensen, J. F. (2007). The effect of hypoxia on behavioural and physiological aspects of lesser sandeel, Ammodytes tobianus (Linnaeus, 1785). Marine Biology, 150(6), 1365-1377.",0.24,3.50,10.00,65.52,"Behrens, J. W., & Steffensen, J. F. (2007). The effect of hypoxia on behavioural and physiological aspects of lesser sandeel, Ammodytes tobianus (Linnaeus, 1785). Marine Biology, 150(6), 1365-1377.",NA,NA,NA,NA,NA,NA,NA,NA,18.2
Anarhichas_lupus,Perciformes,Anarhichadidae,benthic,3.2,NA,113.84,1000.00,10.00,135.32,"Liao, Y. Y., & Lucas, M. C. (2000). Growth, diet and metabolism of common wolf–fish in the North Sea, a fast–growing population. Journal of Fish Biology, 56(4), 810-825.",25.43,1000.00,10.00,32.36,"Liao, Y. Y., & Lucas, M. C. (2000). Growth, diet and metabolism of common wolf–fish in the North Sea, a fast–growing population. Journal of Fish Biology, 56(4), 810-825.",NA,NA,NA,NA,NA,NA,NA,NA,17.6
Anguilla_anguilla,Anguilliformes,Anguillidae,benthic,3.53,NA,94.08,200.00,23.00,322.51,"McKenzie, D. J., Piccolella, M., Dalla Valle, A. Z., Taylor, E. W., Bolis, C. L., & Steffensen, J. F. (2003). Tolerance of chronic hypercapnia by the European eel Anguilla anguilla. Journal of experimental biology, 206(10), 1717-1726.",19.58,200.00,23.00,61.28,"McKenzie, D. J., Piccolella, M., Dalla Valle, A. Z., Taylor, E. W., Bolis, C. L., & Steffensen, J. F. (2003). Tolerance of chronic hypercapnia by the European eel Anguilla anguilla. Journal of experimental biology, 206(10), 1717-1726.",0.470,116.100,0.405,3.126,2.373,692.177,23,0.247,19
Anguilla_australis,Anguilliformes,Anguillidae,benthopelagic,4.07,NA,NA,NA,NA,,NA,15.40,700.00,20.00,16.97,"Smith, D. G., Duiker, W., & Cooke, I. R. C. (1983). Sustained branchial apnea in the Australian short_finned eel, Anguilla australis. Journal of Experimental Zoology, 226(1), 37-43.",NA,NA,NA,NA,NA,NA,NA,NA,20.9
Anguilla_japonica,Anguilliformes,Anguillidae,benthic,3.55,NA,NA,NA,NA,,NA,17.77,325.00,19.91,40.73,"Chan, D. K., & Woo, N. Y. (1978). Effect of cortisol on the metabolism of the eel, Anguilla japonica. General and comparative endocrinology, 35(3), 205-215.",NA,NA,NA,NA,NA,NA,NA,NA,22.7
Anguilla_rostrata,Anguilliformes,Anguillidae,benthic,3.67,NA,48.84,243.00,15.00,183.95,"Holmberg, B., & Saunders, R. L. (1979). The effects of pentachlorophenol on swimming performance and oxygen consumption in the American eel (Anguilla rostrata). Rapports et Proces Verbaux des Reunions.",6.48,264.50,15.00,22.87,"Holmberg, B., & Saunders, R. L. (1979). The effects of pentachlorophenol on swimming performance and oxygen consumption in the American eel (Anguilla rostrata). Rapports et Proces Verbaux des Reunions.",NA,NA,NA,3.110,2.630,NA,NA,NA,20.9
Aphanius_dispar,Cyprinodontiformes,Cyprinodontidae,benthic,2,NA,NA,NA,NA,,NA,0.19,0.72,25.00,109.19,"Plaut, I. (2000). Resting metabolic rate, critical swimming speed, and routine activity of the euryhaline cyprinodontid, Aphanius dispar, acclimated to a wide range of salinities. Physiological and Biochemical Zoology, 73(5), 590-596.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyrosomus_japonicus,Perciformes,Sciaenidae,benthopelagic,4.48,NA,124.10,340.00,22.00,267.81,"Fitzgibbon, Q. P., Strawbridge, A., & Seymour, R. S. (2007). Metabolic scope, swimming performance and the effects of hypoxia in the mulloway, Argyrosomus japonicus (Pisces: Sciaenidae). Aquaculture, 270(1), 358-368.",24.82,340.00,22.00,49.28,"Fitzgibbon, Q. P., Strawbridge, A., & Seymour, R. S. (2007). Metabolic scope, swimming performance and the effects of hypoxia in the mulloway, Argyrosomus japonicus (Pisces: Sciaenidae). Aquaculture, 270(1), 358-368.",NA,NA,NA,NA,NA,NA,NA,NA,20.7
Aristichthys_nobilis,Cyrpiniformes,Cyprinidae,benthopelagic,2.3,NA,1.44,6.19,25.00,120.07,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.17,6.19,25.00,12.72,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Artediellus_atlanticus,Scorpaeniformes,Cottidae,benthic,3.42,NA,NA,NA,NA,,NA,0.10,6.00,0.00,26.02,"Dorrien, C. (1993). Ecology and respiration of selected Arctic benthic fish species. Ber. Polarforsch, 125, 1-104.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Boreogadus_saida,Gadiformes,Gadidae,benthic,3.1,NA,NA,NA,NA,,NA,5.07,53.00,4.50,136.18,"Steffensen, J. F., Bushnell, P. G., & Schurmann, H. (1994). Oxygen consumption in four species of teleosts from Greenland: no evidence of metabolic cold adaptation. Polar Biology, 14(1), 49-54.",NA,NA,NA,NA,NA,16.200,4.075,5.925,18.3
Carassius_auratus,Cyrpiniformes,Cyprinidae,benthopelagic,2,1.48,1.61,6.22,25.00,133.57,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.19,6.22,25.00,14.59,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,1.321,1.001,NA,NA,NA,18.9
Carassius_carassius,Cyrpiniformes,Cyprinidae,benthic,3.11,NA,382.30,1000.00,25.00,270.54,"Fu, S. J., Zeng, L. Q., Li, X. M., Pang, X., Cao, Z. D., Peng, J. L., & Wang, Y. X. (2009). The behavioural, digestive and metabolic characteristics of fishes with different foraging strategies. Journal of Experimental Biology, 212(14), 2296-2302.",69.80,1000.00,25.00,43.12,"Fu, S. J., Zeng, L. Q., Li, X. M., Pang, X., Cao, Z. D., Peng, J. L., & Wang, Y. X. (2009). The behavioural, digestive and metabolic characteristics of fishes with different foraging strategies. Journal of Experimental Biology, 212(14), 2296-2302.",NA,NA,NA,NA,NA,NA,NA,NA,18.9
Chromis_atripectoralis,Perciformes,Pomacentridae,benthopelagic,3.1,NA,4.54,4.14,27.00,513.79,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",1.57,4.14,27.00,159.79,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirrhinus_mrigala,Cyrpiniformes,Cyprinidae,benthic,NA,NA,NA,NA,NA,,NA,1.76,25.00,26.00,34.21,"Das, T., Pal, A. K., Chakraborty, S. K., Manush, S. M., Chatterjee, N., & Mukherjee, S. C. (2004). Thermal tolerance and oxygen consumption of Indian Major Carps acclimated to four temperatures. Journal of Thermal Biology, 29(3), 157-163.",NA,NA,NA,2.690,1.980,2.415,30,0.505,19.8
Coregonus_albula,Salmoniformes,Salmonidae,pelagic,3.02,NA,NA,NA,NA,,NA,5.22,32.78,15.00,133.41,"Ohlberger, J., Staaks, G., & Hölker, F. (2007). Effects of temperature, swimming speed and body mass on standard and active metabolic rate in vendace (Coregonus albula). Journal of Comparative Physiology B, 177(8), 905-916.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Coreius_guichenoti,Cyrpiniformes,Cyprinidae,benthopelagic,NA,NA,37.04,67.30,25.00,328.85,"Tu, Z., Li, L., Yuan, X. I., Huang, Y., & Johnson, D. (2012). Aerobic swimming performance of juvenile Largemouth bronze gudgeon (Coreius guichenoti) in the Yangtze River. Journal of Experimental Zoology Part A: Ecological Genetics and Physiology, 317(5), 294-302.",19.15,67.30,25.00,152.89,"Tu, Z., Li, L., Yuan, X. I., Huang, Y., & Johnson, D. (2012). Aerobic swimming performance of juvenile Largemouth bronze gudgeon (Coreius guichenoti) in the Yangtze River. Journal of Experimental Zoology Part A: Ecological Genetics and Physiology, 317(5), 294-302.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Coryphaena_hippurus,Perciformes,Coryphaenidae,pelagic,4.37,1.21,NA,NA,NA,,NA,503.49,2398.83,25.00,135.66,"Benetti, D. D., Brill, R. W., & Kraul, S. A. (1995). The standard metabolic rate of dolphin fish. Journal of Fish Biology, 46(6), 987-996.",NA,NA,NA,4.450,3.600,NA,25,1.395,NA
Crenimugil_labrosus,Mugiliformes,Mugilidae,benthic,2.59,NA,NA,NA,NA,,NA,1.34,7.75,18.00,116.61,"Flowerdew, M. W., & Grove, D. J. (1980). An energy budget for juvenile thick_lipped mullet, Crenimugil labrosus (Risso). Journal of Fish Biology, 17(4), 395-410.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Ctenopharyngodon_idella,Cyrpiniformes,Cyprinidae,benthic,2,NA,0.65,2.66,25.00,118.47,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.24,2.66,25.00,40.85,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,3.050,2.680,NA,NA,NA,18.5
Cyclopterus_lumpus,Scorpaeniformes,Cycloperidae,benthopelagic,3.89,NA,130.18,782.00,11.00,188.24,"Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left in the tank: metabolic scaling in marine teleosts and its implications for aerobic scope. Proceedings of the Royal Society of London B: Biological Sciences, 274(1608), 431-438.",62.61,924.00,11.00,81.82,"Killen, S. S., Costa, I., Brown, J. A., & Gamperl, A. K. (2007). Little left in the tank: metabolic scaling in marine teleosts and its implications for aerobic scope. Proceedings of the Royal Society of London B: Biological Sciences, 274(1608), 431-438.",0.168,1676.900,0.010,NA,NA,NA,NA,NA,NA
Cyprinus_carpio,Cyrpiniformes,Cyprinidae,benthopelagic,2.96,2.18,1.10,5.15,25.00,109.06,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",0.26,5.15,25.00,23.72,"Yan, G. J., He, X. K., Cao, Z. D., & Fu, S. J. (2013). An interspecific comparison between morphology and swimming performance in cyprinids. Journal of evolutionary biology, 26(8), 1802-1815.",NA,NA,NA,2.460,2.080,166.225,21.425,1.675,20.4
Danio_rerio,Cyrpiniformes,Cyprinidae,benthopelagic,3.1,NA,0.61,0.50,24.00,556.47,"Lucas, M. C., & Priede, I. G. (1992). Utilization of metabolic scope in relation to feeding and activity by individual and grouped zebrafish, Brachydanio rerio (Hamilton_Buchanan). Journal of fish biology, 41(2), 175-190.",0.18,0.50,24.00,159.22,"Lucas, M. C., & Priede, I. G. (1992). Utilization of metabolic scope in relation to feeding and activity by individual and grouped zebrafish, Brachydanio rerio (Hamilton_Buchanan). Journal of fish biology, 41(2), 175-190.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Dascyllus_aruanus,Perciformes,Pomacentridae,benthopelagic,2.5,NA,4.16,3.10,27.00,617.16,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",1.40,3.10,27.00,188.55,"Gardiner, N. M., Munday, P. L., & Nilsson, G. E. (2010). Counter-gradient variation in respiratory performance of coral reef fishes at elevated temperatures. PLoS One, 5(10), e13299-e13299.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Dicentrarchus_labrax,Perciformes,Moronidae,benthopelagic,3.79,1.76,20.05,42.00,20.00,329.21,"Killen_et_al_unpublished (same fish as in Killen, S. S., Marras, S., & McKenzie, D. J. (2011). Fuel, fasting, fear: routine metabolic rate and food deprivation exert synergistic effects on risk_taking in individual juvenile European sea bass. Journal of animal ecology, 80(5), 1024-1033.)",5.81,42.00,20.00,92.25,"Killen, S. S., Marras, S., & McKenzie, D. J. (2011). Fuel, fasting, fear: routine metabolic rate and food deprivation exert synergistic effects on risk_taking in individual juvenile European sea bass. Journal of animal ecology, 80(5), 1024-1033.",0.291,138.360,0.210,NA,NA,114.2,23.7,2.100,NA
Echeneis_naucrates,Perciformes,Echeneidae,benthopelagic,3.36,NA,35.41,160.75,24.00,143.89,"Steffensen, J. F., & Lomholt, J. P. (1983). Energetic cost of active branchial ventilation in the sharksucker, Echeneis naucrates. Journal of Experimental Biology, 103(1), 185-192.",NA,NA,NA,,NA,NA,NA,NA,3.330,2.580,NA,NA,NA,NA
Eleginus_gracilis,Gadiformes,Gadidae,benthic,4.14,NA,NA,NA,NA,,NA,6.85,141.42,2.50,79.96,"Chen, A. & S. Mishima, 1986. Oxygen consumption of saffron cod, Eleginus gracilus (Tilesius). Bull. Fac. Fish. Hokkaido Univ., Vol. 37, pp. 303-308. ",NA,NA,NA,NA,NA,201.000,2.5,1.210,NA
Encheliophis_homei,Ophidiiformes,Carapidae,benthic,3.73,NA,NA,NA,NA,,NA,0.19,1.10,30.00,60.27,"Seymour, R.S., & McCosker, J.E. (1974) Oxygen consumption of the commensal fish, Carapus ho,ei",NA,NA,NA,NA,NA,NA,NA,NA,NA
Epalzeorhynchos_frenatus,Cyrpiniformes,Cyprinidae,benthopelagic,2.31,NA,1.73,2.10,25.00,395.59,"Beamish, F. W. H. (1981). Swimming performance and metabolic rate of three tropical fishes in relation to temperature. Hydrobiologia, 83(2), 245-254.",0.38,2.10,25.00,82.16,"Beamish, F. W. H. (1981). Swimming performance and metabolic rate of three tropical fishes in relation to temperature. Hydrobiologia, 83(2), 245-254.",NA,NA,NA,NA,NA,NA,NA,NA,NA
Euthynnus_affinis,Perciformes,Scombridae,pelagic,4.5,5.61,1064.13,1000.00,24.00,779.55,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). Journal of Experimental Biology, 203(20), 3089-3101.",536.37,1000.00,24.00,347.67,"Sepulveda, C. H. U. G. E. Y., & Dickson, K. A. (2000). Maximum sustainable speeds and cost of swimming in juvenile kawakawa tuna (Euthynnus affinis) and chub mackerel (Scomber japonicus). Journal of Experimental Biology, 203(20), 3089-3101.",2.115,2115.300,0.100,5.050,3.720,NA,NA,NA,24
