"catalogNumber","traitID","taxonID","stageID","observationNumber","scientificName","traitName","traitValue","traitUnit","valueType","lifeStage","assocTemperature","dispersionSD","individualCount","sizeType","sizeAssocName","sizeAssocUnit","sizeAssocValue","sizeAssocSD","sizeAssocN","sizeAssocReference","verbatimLocality","decimalLongitude","decimalLatitude","notes","primaryReference","secondaryReference","primaryReferenceDOI","secondaryReferenceDOI","acceptedNameUsageID","acceptedNameUsage","taxonRank","kingdom","phylum","class","order","family","genus","majorgroup","basisOfRecord","basisOfRecordDescription","uploadBy","uploadDate","maxObsNum","verbatimScientificName","verbatimTraitName","verbatimTraitValue","verbatimTraitUnit","verbatimLifeStage","verbatimTemperature","verbatimNotes","aggregateMeasure","isDerived","catalogSource","errorRisk","errorRiskRank"
"16-3926-1",16,3926,0,1,"Limnoithona tetraspina","carbonWeight","5e-05","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco Estuary (URI: http://www.marineregions.org/gazetteer.php?p=details&id=19184) ",-121.845589,38.063771,"","Gould2010","Kiorboe2013b","10.1594/PANGAEA.834393","10.1594/PANGAEA.819855","urn:lsid:marinespecies.org:taxname:346621","Limnoithona tetraspina Zhang & Li, 1976","Species","Animalia","Arthropoda","Copepoda","Cyclopoida","Cyclopettidae","Limnoithona","Non-calanoid","literature",NA,"P. Pata","2023-08-15",1,"Limnoithona tetraspina","Biom.C/ind.[ug/#]","0.05","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-3073-1",16,3073,0,1,"Aequorea forskalea","carbonWeight","29","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Acuna2011a","Kiorboe2013a","10.1594/PANGAEA.832240","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:117270","Aequorea forskalea Péron & Lesueur, 1810","Species","Animalia","Cnidaria","Hydrozoa","Leptothecata","Aequoreidae","Aequorea","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Aequorea aequorea","Biom.C/ind.[ug/#]","29000","ug",NA,NA,NA,FALSE,FALSE,NA,1.1674067530395,"Genus"
"16-3429-1",16,3429,0,1,"Staurostoma mertensii","carbonWeight","13.2","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Acuna2011a","Kiorboe2013a","10.1594/PANGAEA.832240","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:594013","Staurostoma mertensii (Brandt, 1834)","Species","Animalia","Cnidaria","Hydrozoa","Leptothecata","Laodiceidae","Staurostoma","Hydromedusae","literature",NA,"P. Pata","2023-08-15",1,"Staurophora mertensi","Biom.C/ind.[ug/#]","13200","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-3058-1",16,3058,0,1,"Thysanoessa spinifera","carbonWeight","8.54","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monterey Bay, California (URI: http://www.marineregions.org/gazetteer.php?p=details&id=19167) ",-121.935036,36.779794,"","Bargu2003","Kiorboe2013a","10.1594/PANGAEA.834709","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:237874","Thysanoessa spinifera Holmes, 1900","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Euphausiid","literature",NA,"P. Pata","2023-08-15",1,"Tysanoessa spinifera","Biom.C/ind.[ug/#]","8540","ug",NA,NA,NA,FALSE,FALSE,NA,1.01270606182912,"Genus"
"16-5205-1",16,5205,58,1,"Doliolum denticulatum","carbonWeight","0.008407","mg","numeric","phorozooids and gonozooids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baltic Sea ",23.283333,59.816667,"","Kivi1995","Kiorboe2013a","10.1594/PANGAEA.834864","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:137246","Doliolum denticulatum Quoy & Gaimard, 1834","Species","Animalia","Chordata","Thaliacea","Doliolida","Doliolidae","Doliolum","Thaliacean","literature",NA,"P. Pata","2023-08-15",1,"Doliolum denticulatum","Biom.C/ind.[ug/#]","8.407","ug","phorozooids and gonozooids",NA,NA,FALSE,FALSE,NA,0.213446306400846,"Family"
"16-3040-1",16,3040,0,1,"Nyctiphanes australis","carbonWeight","1.862","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Pacific Ocean ",170.635515,-45.820263,"","Pilditch1994","Kiorboe2013a","10.1594/PANGAEA.835112","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:237863","Nyctiphanes australis G.O. Sars, 1883","Species","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Euphausiid","literature",NA,"P. Pata","2023-08-15",1,"Nyctiphanes australis","Biom.C/ind.[ug/#]","1862","ug",NA,NA,NA,FALSE,FALSE,NA,0.408807353013379,"Family"
"16-5191-1",16,5191,63,1,"Cyclosalpa polae","carbonWeight","4.225","mg","numeric","solitary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Sutherland2010","Kiorboe2013a","10.1594/PANGAEA.835348","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:137261","Cyclosalpa polae Sigl, 1912","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Cyclosalpa","Thaliacean","literature",NA,"P. Pata","2023-08-15",1,"Cyclosalpa polae","Biom.C/ind.[ug/#]","4225","ug","solitary",NA,NA,FALSE,FALSE,NA,0.758743386413973,"Family"
"16-318-1",16,318,0,1,"Acartia","carbonWeight","0.00458","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inland Sea of Japan (URI: http://www.marineregions.org/gazetteer.php?p=details&id=4306) ",134.58252,34.524661,"","Uye1986","Kiorboe2013a","10.1594/PANGAEA.835356","10.1594/PANGAEA.819856","urn:lsid:marinespecies.org:taxname:104108","Acartia Dana, 1846","Genus","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Calanoid","literature",NA,"P. Pata","2023-08-15",1,"Acartia Erythraea","Biom.C/ind.[ug/#]","4.58","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-5028-1",16,5028,0,1,"Ceratocymba leuckartii","carbonWeight","0.253","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Acuna2011b","Kiorboe2013c","10.1594/PANGAEA.832241","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:287240","Ceratocymba leuckartii (Huxley, 1859)","Species","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Abylidae","Ceratocymba","Siphonophore","literature",NA,"P. Pata","2023-08-15",1,"Abyla leuckarti ?","Biom.C/ind.[ug/#]","253","ug",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"16-5185-1",16,5185,0,1,"Brooksia rostrata","carbonWeight","0.338","mg","numeric",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Atlantic ",-60,30,"","Biggs1977","Kiorboe2013c","10.1594/PANGAEA.833792","10.1594/PANGAEA.819850","urn:lsid:marinespecies.org:taxname:137256","Brooksia rostrata (Traustedt, 1893)","Species","Animalia","Chordata","Thaliacea","Salpida","Salpidae","Brooksia","Thaliacean","literature",NA,"P. Pata","2023-08-15",1,"Brooksia rostrata","Biom.C/ind.[ug/#]","338","ug",NA,NA,NA,FALSE,FALSE,NA,0.310430335820434,"Family"
