id,wsc_lsid,originalName,family,genus,species,subspecies,trait,traitFullName,traitCategory,value,value_numeric,measure,sex,lifeStage,frequency,sampleSize,treatment,method,methodFullName,dateText,dateStart,dateEnd,note,location,decimalLatitude,decimalLongitude,altitude,verbatimLocality,countryCode,countryName,habitatVerbatim,microhabitatVerbatim,datasetName,datasetRestrictedAccess,reference,referenceFull,referenceDOI,rowLinks
240993,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0152,0.0152,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5785
240994,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0405,0.0405,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5867
240995,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0182,0.0182,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5900
240996,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0188,0.0188,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5933
240997,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0288,0.0288,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5966
240998,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0206,0.0206,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5999
240999,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0245,0.0245,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,6029
241000,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0199,0.0199,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,6057
241001,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0171,0.0171,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,6084
241002,urn:lsid:nmbe.ch:spidersp:017583,Arctosa fulvolineata,Lycosidae,Arctosa,fulvolineata,,bodm,Body mass,Morphometry,0.0216,0.0216,Single observation,Female,Adult,,,,mor,Morphometry,May 2007,Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),Tue May 01 2007 00:00:00 GMT+0200 (Central European Summer Time),,MontSt-Michel Bay-vb8BmG0bZI,4.15,-2.3,,Mont St-Michel Bay,,,salt-marsh,,Pétillon et al. published lycosid traits,Free access,Puzin et al. 2011,"Puzin C, Acou A, Bonte D. & Pétillon J. 2011. Comparison of reproductive traits between two salt-marsh wolf spiders (Araneae, Lycosidae) under different habitat suitability conditions. Animal Biology 61: 127-138.",,5788
