Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Abrocoma cinerea,250,,,,,,,,,,,,,,,
Acanthorhynchus tenuirostris,11,,,,,,,,,,,,,,,
Accipiter cooperii,423,,,,,,,,1.3,2,,0.0333,,,,
Accipiter gentilis,997.5,,,,,,,,11,2,,0,,,,
Accipiter nisus,226,,,,,,,,3,2,,0.0333,,,,
Accipiter striatus,152.5,,,,,,,,3,2,1.0139,0.0333,0.0169,,,
Acerodon jubatus,1125,,,,,,,,,,,,,,,
Achatina fulica,32,,,,,,,,10,0.5,,0.0083,,,,
Acinonyx jubatus,46500,,,,,,,,8,,1.2667,0.0201,,,,
Acipenser fulvescens,90000,,,,,,,,82,,8.1111,,0.4394,,,
Acipenser transmontanus,630000,,,,,,,,100,,16.7278,,0.3802,,,
Acomys cahirinus,50,,,,,,,,,0.1667,,0.0028,,,,
Acomys russatus,45,,,,,,,,,,,,0.0042,,,
Aconaemys fuscus,50,,,,,,,,,1,,0.0167,,,,
Acridotheres tristis,112.5,,,,,,,,4,1,,0.0167,,,,
Acrobates pygmaeus,13,,,,,,,,4,,1.0139,,0.0111,,,
Acrocephalus arundinaceus,36,,,,,,,,2.4,,,,,,,
Acrochordus granulatus,130,,,,,,,,,,,,,,,
Acrochordus javanicus,6500,,,,,,,,,,,,,,,
Actinia equina,0.42,,,,,,,,,,,,,,,
Actitis hypoleucos,40,,,,,,,,8,2,,0.0333,,,,
Actitis macularius,42,,,,,,,,9.08,1,,0.0167,,,,
Adalia bipunctata,,,,,,,,,,,,,,,,
Addax nasomaculatus,92500,,,,,,,,,2,,0.0417,,,,
Aechmophorus occidentalis,1400,,,,,,,,11,,,,,,,
Aegithalos caudatus,8,,,,,,,,2.5,,,,,,,
Aegolius acadicus,87.5,,,,,,,,10.33,1,,0.0167,,,,
Aegolius funereus,154,,,,,,,,3.4,0.75,,0.0125,,,,
Aegypius monachus,8170,,,,,,,,20,4.4,,0.0733,,,,
Aepyceros melampus,52500,,,,,,,,15,1,1.0972,0.025,0.0211,,,
Aepyprymnus rufescens,2.48,,,,,,,,6,,1.0556,,0.0154,,,
Aethia cristatella,260,,,,,,,,7.7,3,,0.05,,,,
Aethia pusilla,86,,,,,,,,4.5,3,,0.05,,,,
Aetobatus narinari,230000,,,,,,,,,5,,0.0833,,,,
Agamia agami,2500,,,,,,,,16,,,,,,,
Agapornis fischeri,50,,,,,,,,12.6,,,,,,,
Agapornis personatus,52.5,,,,,,,,,0.8333,,0.0139,,,,
Agapornis roseicollis,54.8,,,,,,,,,0.1667,,0.0028,,,,
Agelaioides badius,45,,,,,,,,6,,,,,,,
Agelaius phoeniceus,56.05,,,,,,,,2.14,3,,0.0333,,,,
Agelaius tricolor,59.5,,,,,,,,13,2,,0.0167,,,,
Agkistrodon piscivorus,1067.5,,,,,,,,24.5,,,0.0507,0.0507,,,
Ailuroedus crassirostris,207,,,,,,,,,,,,,,,
Ailuropoda melanoleuca,102500,,,,,,,,12.5,5.75,,0.0958,,,,
Ailurops ursinus,7000,,,,,,,,,,,,,,,
Ailurus fulgens,4950,,,,,,,,14,1.5,1.5278,0.025,0.0255,,,
Aimophila aestivalis,21,,,,,,,,3,,,,,,,
Aimophila ruficeps,19,,,,,,,,3.17,1,,0.0167,,,,
Aix galericulata,560.5,,,,,,,,,,,,,,,
Aix sponsa,600,,,,,,,,22.5,1,1.0139,0.0167,0.0169,,,
Ajaia ajaja,1036.97,,,,,,,,15.83,,3.0417,,0.0507,,,
Akodon azarae,19,,,,,,,,0.79,0.1667,,0.0028,,,,
Akodon cursor,42.5,,,,,,,,,0.0958,,0.0019,,,,
Akodon montensis,42,,,,,,,,,0.0958,,0.0021,,,,
Akodon philipmyersi,23,,,,,,,,,,,,,,,
Alauda arvensis,36,,,,,,,,10.2,,,,,,,
Albula vulpes,3000,,,,,,,,7.5,4,,0.0917,,,,
Alca torda,617.5,,,,,,,,7.33,,,,,,,
Alcedo atthis,34,,,,,,,,7,,,,,,,
Alcelaphus buselaphus,137500,,,,,,,,20,,,,0.0338,,,
Alces alces,520500,,,,,,,,22,3.5,,0.0306,,,,
Alces americanus,435000,,,,,,,,10,2,,0.0333,,,,
Alectoris chukar,595,,,,,,,,,,,,,,,
Alepisaurus ferox,5150,,,,,,,,,,,,,,,
Allactaga elater,58.7,,,,,,,,,,0.3944,,0.0066,,,
Allactaga euphratica,35.9,,,,,,,,,,,,,,,
