Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AF,,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus iris  ,"Hottentot Golden Mole, Zulu Golden Mole",1.721,52.6,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,AF,,Afrosoricida,Chrysochloridae,Calcochloris,obtusirostris,Chrysochloris obtusirostris,Yellow Golden Mole,1.381,24.05,60_ 129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,AF,Somalia,Afrosoricida,Chrysochloridae,Calcochloris,tytonis,Amblysomus tytonis|Chlorotalpa tytonis  ,Somali Golden Mole,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,AF,,Afrosoricida,Chrysochloridae,Carpitalpa,arendsi,Chlorotalpa arendsi  ,Arend's Golden Mole,1.719,52.35,60_ 129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,AF,S. Cape Prov._ South Africa,Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,,Duthie's Golden Mole,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,AF,Cape Prov._ E orange Free state_ and S Transvaal (south Africa),Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,,Sclater's Golden Mole,1.613,41,113_ 260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,AF,,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,,Cape Golden Mole,1.69,49,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,AF,,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Stuhlmann's Golden Mole,1.6,39.8,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,AF,Cape Prov._ South Africa,Afrosoricida,Chrysochloridae,Chrysochloris,visagiei,,Visagie's Golden Mole,1.477,30,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,AF,,Afrosoricida,Chrysochloridae,Chrysospalax,trevelyani,,Giant Golden Mole,2.63,426.501,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
