Reference number,References
1,"Márquez, R. 2009. Sapo partero ibérico – Alytes cisternasii. En: Enciclopedia Virtual de los Vertebrados Españoles. Salvador, A. (Ed.). Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
2,"Bosch, J. and R. Márquez. 1996. Discriminant functions for sex identification in two midwife toads (Alytes obstetricans and A. cisternasii). Herpetological Journal 6: 105-109"
3,"Márquez, R. 1996. Egg Mass and Size of Tadpoles at Hatching in the Midwife Toads Alytes obstetricans and Alytes cisternasii: Implications for Female Choice. Copeia 4: 824-831"
4,"Arnold, N. and D. Ovenden. 2002. Le guide herpéto: 199 amphibiens et reptiles dʼEurope. Les guides du naturaliste. 288pp. Paris, France"
5,"Monnet, J.M. and M.I. Cherry. 2002. Sexual size dimorphism in anurans. Proceedings Of The Royal Society Of London Series B-Biological Sciences 269: 2301-2307"
6,"Boulenger, G.A. 1897. The tailless Batrachians of Europe, Part I. 210pp. London, UK"
7,"AmphibiaWeb. 2010. Information on amphibian biology and conservation. Berkeley, California: AmphibiaWeb. Available from http://amphibiaweb.org/ (accessed Oct 2010)"
8,"Salvador, A. 2009. Sapo partero bético – Alytes dickhilleni. En: Enciclopedia Virtual de los Vertebrados Españoles. Salvador, A. (Ed.). Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
9,"Dyson, M.L., S.L. Bush and T.R. Halliday. 1998. Phonotaxis by Female Majorcan Midwife Toads, Alytes muletensis. Behaviour 135: 213-230"
10,"Bosch, J. and R. Márquez. 2000. Tympanum Fluctuating Asymmetry, Body Size and Mate Choice in Female Midwife Toads (Alytes obstetricans). Behaviour 137: 1211-1222"
11,"Miaud, C. and J. Muratet. 2004. Identifier les œufs et les larves des amphibiens de France. 200pp. Paris, France"
12,"Salvador, A. 1996. Amphibians of Northwest Africa. Departamento de Ecologia Evolutiva Museo Nacional de Ciencias Naturales 109: 1-41"
13,Cistude Nature. 2010. Guide des Amphibiens et Reptiles d’Aquitaine. 180pp. France. Available from http://www.cistude.org (accessed Oct 2010)
14,"Weiserbs, A. and J.-P. Jacob. 2005. Amphibiens et Reptiles de la région de Bruxelles-Capitale. 107pp. Bruxelles, Belgium"
15,Agence de lʼeau Artois Picardie. 2003. Partez à la rencontre de la biodiversité: les amphibiens et les reptiles liés à lʼeau du bassin Artois-Picardie. 36pp. France
16,"Laan, R. and B. Verboom. 1986. Nieuwe poelen voor amfibieên; Aanbevelingen voor aanleg en onderhoud. Report 269, Department of Animal Ecology, Nijmegen University and of Research Institute for Nature Management. Nijmegen, The Netherlands"
17,"Bosch, J. 2009. Sapo partero común – Alytes obstetricans. En: Enciclopedia Virtual de los Vertebrados Españoles. Salvador, A. (Ed.). Museo Nacional de Ciencias Naturales, Madrid. Available from http://www.vertebradosibericos.org/ (accessed Oct 2010)"
18,"Cogalniceanu, D. and C. Miaud. 2003. Population age structure and growth of four syntopic amphibian species inhabiting a large river floodplain. Canadian Journal of Zoology 81: 1096-1106"
19,"Kovar, R., M. Brabec, R. Vita and R. Bocek. 2009. Spring migration distances of some Central European amphibian species. Amphibia- Reptilia 30: 367-378"
