Taxon,"log10Homerange(km2)","log10Mass(kg)",Diet,Environment,References
Abrothrix_olivaceus,-3.33,-1.61,Omnivore,Terrestrial,Jones et al. 2009
Acinonyx_jubatus,2.91,1.70,Carnivore,Terrestrial,Caro 1994
Aepyceros_melampus,0.51,1.80,Herbivore,Terrestrial,"duToit 1990, Murray 1982"
Ailuropoda_melanoleuca,0.62,1.94,Herbivore,Terrestrial,Schaller et al. 1985
Ailurus_fulgens,0.01,0.73,Herbivore,Terrestrial,Reid et al. 1991
Alcelaphus_buselaphus,0.34,2.13,Herbivore,Terrestrial,Ables and Ables 1971
Alces_alces,1.97,2.49,Herbivore,Terrestrial,"Addison et al. 1980, Ballard et al. 1991, Bangs and Bailey 1980b, Bangs et al. 1984, Cederlund andOkarma 1988, Cederlund and Sand  1994, Doerr 1983, Grauvogel 1984, Hauge and Keith 1981,Leptich and Gilbert 1989, MacCracken et al. 1997, Stenhouse et al. 1994, Van Dyke et al. 1995"
Alouatta_seniculus,-0.80,0.81,Omnivore,Terrestrial,Jones et al. 2009
Amblysomus_hottentotus,-3.33,-1.20,Omnivore,Terrestrial,Jones et al. 2009
Ammospermophilus_leucurus,-1.30,-0.98,Omnivore,Terrestrial,Jones et al. 2009
Ammospermophilus_nelsoni,-1.40,-0.79,Omnivore,Terrestrial,Jones et al. 2009
Ammotragus_lervia,0.96,2.22,Herbivore,Terrestrial,Hampy 1978
Antechinus_stuartii,-1.46,-1.56,Carnivore,Terrestrial,Lazenby-Cohen and Cockburn 1991
Antilocapra_americana,1.01,1.66,Herbivore,Terrestrial,"Bayless 1969, Reynolds 1984"
Aonyx_capensis,2.08,1.29,Omnivore,Terrestrial,Jones et al. 2009
Aotus_trivirgatus,-1.30,-0.04,Omnivore,Terrestrial,Jones et al. 2009
Aplodontia_rufa,-2.98,0.05,Herbivore,Terrestrial,Martin 1971
Apodemus_flavicollis,-2.12,-1.50,Herbivore,Terrestrial,Scharzenberger and Klingel 1995
Apodemus_sylvaticus,-1.88,-1.67,Herbivore,Terrestrial,"Attuquayefio et al. 1986, Corp et al. 1997, Wolton 1985"
Apomys_musculus,-2.63,-1.67,Omnivore,Terrestrial,Jones et al. 2009
Arctocephalus_gazella,3.75,1.53,Carnivore,Marine,"Personal communication; Staniland et al., 2010"
Arctocephalus_tropicalis,5.34,1.52,Carnivore,Marine,This study
Atherurus_africanus,-0.82,0.44,Herbivore,Terrestrial,Emmons 1983
Atilax_paludinosus,0.35,0.56,Carnivore,Terrestrial,Ray 1997
Axis_axis,0.56,1.80,Herbivore,Terrestrial,"Ables et al. 1977, Moe and Wegge 1994"
Balaena_mysticetus,4.39,4.49,Carnivore,Marine,"Heide-Jorgensen et al., 2007"
Bassariscus_astutus,-0.08,0.01,Omnivore,Terrestrial,"Toweill and Teer 1981, Trapp 1978"
Bathyergus_suillus,-2.57,-0.20,Herbivore,Terrestrial,Davies and Jarvis 1986
Bettongia_gaimardi,-0.34,0.22,Herbivore,Terrestrial,Taylor 1993
Bison_bison,2.42,2.80,Herbivore,Terrestrial,"Larter and Gates 1994, Lott and Minta 1983, Van Vuren 1983"
Bison_bonasus,1.01,2.80,Herbivore,Terrestrial,Krasinska and Krasinski 1995
Brachylagus_idahoensis,-2.31,-0.47,Herbivore,Terrestrial,Katzner and Parker 1997
Brachyteles_arachnoides,0.33,1.02,Omnivore,Terrestrial,Jones et al. 2009
Bradypus_torquatus,-1.35,0.59,Herbivore,Terrestrial,Chiarello 1998
Bunopithecus_hoolock,-0.64,0.83,Omnivore,Terrestrial,Jones et al. 2009
Callicebus_moloch,-1.52,-0.02,Omnivore,Terrestrial,Jones et al. 2009
Callimico_goeldii,-0.35,-0.25,Omnivore,Terrestrial,Jones et al. 2009
Callithrix_humeralifera,-0.89,-0.43,Omnivore,Terrestrial,Jones et al. 2009
Callithrix_pygmaea,-2.51,-0.91,Omnivore,Terrestrial,Jones et al. 2009
Callosciurus_erythraeus,-1.85,-0.44,Omnivore,Terrestrial,Tamura et al. 1989
