Species,Clade I,Clade II,Clade III,Dietary niche breadth,Standard niche breadth,Foraging mode,Time of activity,No. empty,Total guts,Percent Empty,Mean SVL (mm),SD SVL,Predatory,Huey_SpeciesName
Cnemidophorus tigris,Autarchoglossa,Teiidae,Teiidae,5.8,0.29,WF,D,20,1772,1.1,79,9.6,T,
Uta stansburiana,Iguania,Iguanidae,Phrynosomatinae,7.3,0.365,SW,D,7,870,0.8,42,9.7,T,
Gambelia wislizeni,Iguania,Iguanidae,Crotaphytinae,2.9,0.145,SW,D,6,233,2.6,93,14.1,T,Crotaphytus wislizeni
Phrynosoma platyrhinos,Iguania,Iguanidae,Phrynosomatinae,2.4,0.12,SW,D,0,167,0,72,12.5,T,
Callisaurus draconoides,Iguania,Iguanidae,Phrynosomatinae,6.6,0.33,SW,D,2,463,0.4,73,10.9,T,
Dipsosaurus dorsalis,Iguania,Iguanidae,Iguaninae,1.1,0.055,SW,D,0,63,0,107,23.1,F,
Uma scoparia,Iguania,Iguanidae,Phrynosomatinae,3.3,0.165,SW,D,1,42,2.4,82,15.9,T,
Urosaurus graciosus,Iguania,Iguanidae,Phrynosomatinae,6.5,0.325,SW,D,2,35,5.7,49,6.7,T,
Sceloporus magister,Iguania,Iguanidae,Phrynosomatinae,3,0.15,SW,D,0,36,0,86,21.7,T,
Xantusia vigilis,Autarchoglossa,Xantusiidae,Xantusiidae,4.4,0.22,NA,N,4,27,14.8,42,4.5,T,
Coleonyx variegatus,Gekkota,Gekkonidae,Eublepharinae,5.1,0.255,SW,N,56,232,24.1,51,9.9,T,
Agama hispida,Iguania,Agamidae,Agamidae,3.2,0.16,SW,D,3,378,0.8,67,25.7,T,
Ichnotropis squamulosa,Autarchoglossa,Lacertidae,Lacertidae,1.5,0.075,SW,D,4,116,3.4,51,9,T,
Pedioplanis lineoocellata ,Autarchoglossa,Lacertidae,Lacertidae,4.2,0.21,SW,D,25,1156,2.2,48,12,T,
Heliobolus lugubris,Autarchoglossa,Lacertidae,Lacertidae,1.2,0.06,WF,D,12,250,4.8,50,10.4,T,
Pedioplanis namaquensis,Autarchoglossa,Lacertidae,Lacertidae,2.2,0.11,WF,D,2,220,0.9,48,7.1,T,
Meroles suborbitalis,Autarchoglossa,Lacertidae,Lacertidae,3.3,0.165,SW,D,18,780,2.3,51,9.3,T,
Nucras tessellata,Autarchoglossa,Lacertidae,Lacertidae,3,0.15,WF,D,15,93,16.1,57,13.2,T,
Trachylepis occidentalis,Autarchoglossa,Scincidae,Scincidae,4.7,0.235,WF,D,38,235,16.2,75,12.7,F,Mabuya occidentalis
Trachylepis spilogaster,Autarchoglossa,Scincidae,Scincidae,5.7,0.285,WF,D,18,378,4.9,62,11.3,T,Mabuya spilogaster
Trachylepis striata,Autarchoglossa,Scincidae,Scincidae,6.1,0.305,WF,D,22,558,3.9,70,16.4,T,Mabuya striata
Trachylepis variegata,Autarchoglossa,Scincidae,Scincidae,6.4,0.32,WF,D,3,115,2.6,37,5.8,T,Mabuya variegata
Chondrodactylus angulifer,Gekkota,Gekkonidae,Gekkoninae,3.8,0.19,SW,N,50,441,11.3,76,16.5,T,
Colopus wahlbergii,Gekkota,Gekkonidae,Gekkoninae,2.4,0.12,SW,N,23,135,17,48,6.1,T,
Lygodactylus capensis,Gekkota,Gekkonidae,Gekkoninae,6.8,0.34,SW,D,1,28,3.6,31,5.9,T,
Pachydactylus bibronii,Gekkota,Gekkonidae,Gekkoninae,3.2,0.16,SW,N,39,175,22.3,65,15.1,T,
Pachydactylus capensis,Gekkota,Gekkonidae,Gekkoninae,6.5,0.325,SW,N,28,106,26.4,52,10.3,T,
Pachydactylus rugosus,Gekkota,Gekkonidae,Gekkoninae,8.2,0.41,SW,N,4,29,13.8,52,6,T,
Ptenopus garrulus,Gekkota,Gekkonidae,Gekkoninae,2.4,0.12,SW,N,70,490,14.3,43,7.1,T,
