"Taxon.group","Consumer.identity","Freq"
"Echinoderms","Luidia_ciliaris",13
"Echinoderms","Astrotoma_agassizii",10
"Fish","Alosa_braschnikowi",8
"Reptiles","Mesoclemmys_vanderhaegei",7
"Echinoderms","Meyenaster_gelatinosus",6
"Molluscs","Plocamopherus_tilesii",6
"Fish","Bathylagidae",5
"Cnidarians","Diphyes_dispar",5
"Cnidarians","Allantactis_parasitica",4
"Cnidarians","Anthopleura_nigrescens",4
"Fish","Argyrosomus_hololepidotus",4
"Fish","Artediellus_atlanticus",4
"Annelids","Cambarincola_chirocephalus",4
"Annelids","Cambarincola_vitreus",4
"Fish","Characidium",4
"Fish","Cottunculus_microps",4
"Fish","Elops_machnata",4
"Fish","Galeichthys_feliceps",4
"Fish","Hypseleotris",4
"Fish","Lichia_amia",4
"Fish","Lycodes_esmarkii",4
"Fish","Lycodes_vahlii",4
"Ctenophores","Mertensia_ovum",4
"Fish","Pomadasys_commersonnii",4
"Amphibians","Rana_graeca",4
"Cnidarians","Rosacea_cymbiformis",4
"Fish","Sebastes_mentella",4
"Fish","Triglops_murrayi",4
"Fish","Amblyraja_hyperborea",3
"Fish","Arctozenus_risso",3
"Amphibians","Arthroleptis_xenodactyloides",3
"Ctenophores","Callianira_antarctica",3
"Fish","Leptagonus_decagonus",3
"Fish","Monodactylus_falciformis",3
"Fish","Pimelodella",3
"Arthropods","Plesionika_edwardsii",3
"Amphibians","Pleurodema_diplolister",3
"Fish","Rajella_fyllae",3
"Fish","Rhamdia",3
"Cnidarians","Sulculeolaria_quadrivalvis",3
"Cnidarians","Agalma_elegans",2
"Cnidarians","Agalma_okeni",2
"Amphibians","Andinobates_minutus",2
"Cnidarians","Apolemia_uvaria",2
"Cnidarians","Athorybia_rosacea",2
"Fish","Bathyraja_spinicauda",2
"Molluscs","Burnupena_lagenaria",2
"Fish","Careproctus",2
"Cnidarians","Ceriantheopsis_americana",2
"Cnidarians","Chelophyes_appendiculata",2
"Echinoderms","Coscinasterias_calamaria",2
"Amphibians","Eleutherodactylus_planirostris",2
"Fish","Eucinostomus_melanopterus",2
"Fish","Eumicrotremus_spinosus",2
"Cnidarians","Forskalia",2
"Fish","Hypopomus",2
"Fish","Icelus_(genus_in_Deuterostomia)",2
"Fish","Liparis_bathyarcticus",2
"Fish","Liparis_fabricii",2
"Echinoderms","Luidia_foliolata",2
"Fish","Lycodes_pallidus",2
"Fish","Lycodes_rossi",2
"Fish","Lycodes_seminudus",2
"Fish","Macrourus_berglax",2
"Echinoderms","Mediaster_aequalis",2
"Fish","Monodactylus_sebae",2
"Cnidarians","Muggiaea_atlantica",2
"Cnidarians","Obelia_dichotoma",2
"Amphibians","Plethodon_albagula",2
"Fish","Polydactylus_quadrifilis",2
"Fish","Pomadasys_jubelini",2
"Fish","Pseudotolithus_senegallus",2
"Cnidarians","Sulculeolaria_chuni",2
"Cnidarians","Sulculeolaria_monoica",2
"Fish","Triglops_nybelini",2
"Fish","Triglops_pingelii",2
"Fish","Abudefduf_saxatilis",1
"Fish","Abudefduf_taurus",1
"Cnidarians","Abyla_trigona",1
"Fish","Acanthostracion_polygonius",1
"Fish","Acanthostracion_quadricornis",1
