"taxon","source_mass","n","Taxon.group","mass_g","source","gen_time_days"
"_Nanonycteris","21.35",1,NA,NA,"Smith_2003",NA
"_Natalus","5.75522663623422",1,NA,NA,"Smith_2003",NA
"Abbottina_rivularis","15.9",1,NA,NA,"Killen_etal_2016",NA
"Abditomys_latidens","269",1,NA,NA,"Smith_2003",NA
"Abeillia_abeillei","2.7",1,NA,NA,"rdataretriever-amniote-life-hist",NA
"Abeomelomys_sevia","56.3649110706297",2,NA,NA,"rdataretriever-pantheria_rdataretriever-amniote-life-hist",NA
"Abeomylomys_sevia","52",1,NA,NA,"Smith_2003",NA
"Ablepharus_bivittatus","4.4",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_budaki","2",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_chernovi","2.9",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_darvazi","1.5",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_deserti","3.9",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_grayanus","0.6",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_kitaibelii","3.7",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_lindbergi","2.3",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_pannonicus","3.1",1,NA,NA,"Feldman_etal_2016",NA
"Ablepharus_rueppellii","2.6",1,NA,NA,"Feldman_etal_2016",NA
"Abramis_brama","398",1,NA,NA,"Brown_etal_2018",NA
"Abrawayaomys_ruschii","63",1,NA,NA,"Smith_2003",NA
"Abrocoma_bennetti","307",1,NA,NA,"rdataretriever-mammal-life-hist",NA
"Abrocoma_bennettii","250.501",1,NA,NA,"Smith_2003",NA
"Abrocoma_boliviensis","158.001",1,NA,NA,"Smith_2003",NA
"Abrocoma_budini","221.82",1,NA,NA,"rdataretriever-amniote-life-hist",NA
"Abrocoma_cinerea","250",1,NA,NA,"Smith_2003",NA
"Abrocoma_famatina","221.82",1,NA,NA,"rdataretriever-amniote-life-hist",NA
"Abrocoma_shistacea","221.82",1,NA,NA,"rdataretriever-amniote-life-hist",NA
"Abrocoma_vaccarum","221.82",1,NA,NA,"rdataretriever-amniote-life-hist",NA
"Abronia_anzuetoi","44.5",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_aurita","34.1",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_bogerti","9.6",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_campbelli","36",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_chiszari","5.8",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_deppii","25.5",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_fimbriata","39",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_frosti","21.8",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_fuscolabialis","27.9",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_gaiophantasma","21.8",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_graminea","19.2",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_leurolepis","18.6",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_lythrochila","29.5",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_martindelcampoi","25.5",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_matudai","21.8",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_meledona","29.5",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_mitchelli","18.6",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_mixteca","61.3",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_montecristoi","12.2",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_oaxacae","27.1",1,NA,NA,"Feldman_etal_2016",NA
"Abronia_ochoterenai","24.3",1,NA,NA,"Feldman_etal_2016",NA
