"taxon","mass_g","source_mass","n"
"Abalistes",2543,"GenusAverage",2
"Abbottina",17.49,"GenusAverage",6
"Abditomys",268.7,"GenusAverage",4
"Abeillia",2.7,"GenusAverage",2
"Abeomelomys",54.18,"GenusAverage",3
"Abeomylomys",52,"GenusAverage",1
"Ablennes",2949,"GenusAverage",2
"Ablepharus",2.54,"GenusAverage",23
"Abralia",10,"GenusAverage",1
"Abramis",3982,"GenusAverage",4
"Abramites",35.2,"GenusAverage",1
"Abrawayaomys",63,"GenusAverage",4
"Abrocoma",246.2,"GenusAverage",25
"Abronia",25.69,"GenusAverage",57
"Abroscopus",5.368,"GenusAverage",5
"Abrothrix",35.18,"GenusAverage",30
"Abudefduf",158.7,"GenusAverage",2
"Aburria",1368,"GenusAverage",3
"Acacia",458.5,"GenusAverage",1
"Acanthagenys",47.62,"GenusAverage",3
"Acanthaluteres",2625,"GenusAverage",1
"Acanthephyra",3.28,"GenusAverage",1
"Acanthidops",16,"GenusAverage",2
"Acanthina",0.825,"GenusAverage",0
"Acanthinucella",0.825,"GenusAverage",0
"Acanthinula",0.000433,"GenusAverage",1
"Acanthis",13.65,"GenusAverage",3
"Acanthisitta",6.618,"GenusAverage",4
"Acanthistius",1862,"GenusAverage",1
"Acanthiza",7.172,"GenusAverage",49
"Acanthobrama",87.84,"GenusAverage",3
"Acanthocardia",3.08,"GenusAverage",1
"Acanthocercus",104,"GenusAverage",19
"Acanthochelys",369.2,"GenusAverage",1
"Acanthochitona",0.333,"GenusAverage",1
"Acanthochromis",2.57,"GenusAverage",1
"Acanthocobitis",19.75,"GenusAverage",2
"Acanthocybium",11040,"GenusAverage",2
"Acanthocyclops",1.13e-05,"GenusAverage",1
"Acanthodactylus",9.856,"GenusAverage",104
"Acanthogobio",85.3,"GenusAverage",2
"Acanthogobius",255.3,"GenusAverage",2
"Acanthopagrus",2067,"GenusAverage",9
"Acanthophis",243.9,"GenusAverage",12
"Acanthopsetta",1200,"GenusAverage",1
"Acanthopsoides",1.2,"GenusAverage",1
"Acanthorhodeus",38.26,"GenusAverage",2
"Acanthorhynchus",10.21,"GenusAverage",8
"Acanthornis",10.34,"GenusAverage",4
"Acanthosaura",90.51,"GenusAverage",22
"Acanthosepion",3.175,"GenusAverage",1
"Acanthostracion",280.6,"GenusAverage",1
"Acanthurus",1364,"GenusAverage",5
"Acantopsis",47.6,"GenusAverage",1
"Acari",1.017e-05,"GenusAverage",2
"Acarichthys",276,"GenusAverage",1
"Acaronia",189.9,"GenusAverage",1
"Accer",2100000,"GenusAverage",1
"Accipiter",301.3,"GenusAverage",127
"Acentrogobius",21.5,"GenusAverage",7
"Acerodon",571.4,"GenusAverage",17
"Aceros",1701,"GenusAverage",17
"Acestrocephalus",118.8,"GenusAverage",1
"Acestrorhynchus",230.5,"GenusAverage",4
"Acestrura",3.8,"GenusAverage",1
"Acetes",0.03845,"GenusAverage",1
"Achaetops",27.68,"GenusAverage",3
"Achalinus",35.22,"GenusAverage",12
"Achatina",32,"GenusAverage",1
"Acheilognathus",40.8,"GenusAverage",17
"Achirus",16.9,"GenusAverage",0
"Achnanthes",2.057e-11,"GenusAverage",2
"Achromadora",1.25e-07,"GenusAverage",1
"Acinonyx",44560,"GenusAverage",12
