"CiteID","Bibcite","Citation"
"Abe_1989","\citep{Abe:1989vw}","Abe, N. 1989. Prey value to the carnivorous gastropods Morula musiva (Kiener) and the two forms of Thais clavigera (Küster): effect of foraging duration and abandonment of prey. Malacologia 30:373-395."
"Adams_1989","\citep{Adams:1989uq}","Adams, N. J., N. T. Klages. 1989. Temporal variation in the diet of the Gentoo penguin Pygoscelis papua at sub-Antarctic Marion Island. Colonial Wetlands. 12:30-36."
"Agapov_1938","\citep{Agapov:1938aa}","Agapov, I. D. (1938). Age and growth of Caspialosa brashnikovi (Borodin) in the north-eastern part of the Caspian Sea [Vozrast i rost dolginskoj sel'di Caspialosa brashnikovi (Borodin) severo-vostochnoj chasti Kaspiya]. Academy of Sciences press, Moscow-Leningrad (Russia)."
"Agudelo-Cantero_2015","\citep{Agudelo-Cantero:2015vz}","Agudelo-Cantero, G.A., Castaño-Valencia, R.S., Castro-Herrera, F., Fierro-Pérez, L. and Asencio-Santofimio, H., 2015. Diet of the Blue-Bellied Poison Frog Andinobates minutus (Anura: Dendrobatidae) in Two Populations from the Colombian Pacific. Journal of Herpetology, 49(3), pp.452-461."
"Aiken_1998","\citep{Aiken:1998ub}","Aiken, K.A. 1998. Reproduction, diet and population structure of the mountain mullet, Agonostomus monticola, in Jamaica, West Indies. Environmental Biology of Fishes 53:347-352."
"Alcaraz_2015","\citep{Alcaraz:2015vr}","Alcaraz, C., Z. Gholami, H.R. Esmaeili, and E. Garcia-Berthou. 2015. Herbivory and seasonal changes in diet of a highly endemic cyprinodontid fish (Aphanius farsicus). Environmental Biology of Fishes 98:1541-1554."
"Alexander_1986","\citep{Alexander:1986uz}","Alexander, SK. 1986. Diet of the blue crab, Callinectes sapidus Rathbun, from nearshore habitats of Galveston Island, Texas. The Texas Journal of Science 38(1):85-89."
"Ali_2016","\citep{Ali:2016ub}","Ali, M. K. H., A. Belluscio, D. Ventura, and G. Ardizzone. 2016. Feeding ecology of some fish species occuring in artisanal fishery of Socotra Island (Yemen). Marine Pollution Bulletin 105:613-628."
"Allison_2013","\citep{Allison:2013aa}","Allison, M.E. and Sikoki, F.D., 2013. Food and feeding habits of Parailia pellucida (Boulenger, 1901)(Schilbeidae) in the freshwater reaches of the nun river of the Niger Delta, Nigeria. International Journal of Advanced Fisheries and Aquatic Science, 1(1), pp.1-14."
"Alterio_1997","\citep{Alterio:1997wb}","Alterio, N., & Moller, H. (1997). Diet of feral house cats Felis catus, ferrets Mustela furo and stoats M. erminea in grassland surrounding yellow‐eyed penguin Megadyptes antipodes breeding areas, South Island, New Zealand. Journal of Zoology, 243(4), 869-877."
"Altin_2015","\citep{Altin:2015aa}","Altin, Aytac, Ozcan Ozen, and Hakan Ayyildiz. ""Feeding habits of the marbled goby, Pomatoschistus marmoratus (Actinopterygii: Perciformes: Gobiidae), in the Çanakkale Strait, Northern Aegean Sea, Turkey."" Acta Ichthyologica et Piscatoria 45 (2015): 95-100."
"Anderson_1999","\citep{Anderson:1999vn}","Anderson, M.T., Mathis, A. 1999. Diets of two sympatric neotropica salamanders, Bolitoglossa mexicana and B. rufescens, with notes on reproduction for B. rufescens. Journal of Herpetology 33(4): 601-607."
"Andersone_2004","\citep{Andersone:2004wr}","Andersone, Žanete, and Jãnis Ozoliņš. ""Food habits of wolvesCanis lupus in Latvia."" Acta Theriologica 49.3 (2004): 357-367."
"Andreone_1999","\citep{Andreone:1999vv}","Andreone, F., de Michelis, S., Clima, V. 1999. A montane amphibian and its feeding habits: Salamandra lanzai (Caudata, Salamandridae) in teh Alps of northwestern Italy. Italian Journal of Zoology 66: 45-49."
"Angelici_2005","\citep{Angelici:2005wn}","Angelici, F.M. and L. Luiselli. 2005. Habitat associations and dietary relationships between two genets, Genetta maculata and Genetta cristata. Revue d Ecologie 60:341-354."
"Angelici_2014","\citep{Angelici:2014wc}","Angelici, F.M.. 2014. Dietary habits of the Black-legged mongoose Bdeogale nigripes (Mammalia: Carnivora) in the rainforest of Southeastern Nigeria. Italian Journal of Zoology 81:544-551."
"Annett_1984","\citep{Annett:1984uk}","Annett, C., and R. Pierotti. 1984. FORAGING BEHAVIOR AND PREY SELECTION OF THE LEATHER SEASTAR DERMASTERIAS-IMBRICATA. Marine Ecology-Progress Series 14:197-206."
"Ansell_1999","\citep{Ansell:1999uk}","Ansell, A.D., Comley, C.A., and Robb, L. 1999. Distribution, movements and diet of macrocrustaceans on a Scottish sandy beach with particular reference to predation on juvenile fishes. Marine Ecology Progress Series 176:115-130."
"Antonelis_1994","\citep{Antonelis:1994tr}","Antonelis, G.A., S.R. Melin, and Y.A. Bukhtiyarov. 1994. Early spring feeding habits of Bearded Seals (Erignathus barbatus) in the Central Bering Sea, 1981. Arctic 47:74-79."
"Archer_2004","\citep{Archer:2004aa}","Archer, Frederick I., and Kelly M. Robertson. ""Age and length at weaning and development of diet of pantropical spotted dolphins, Stenella attenuata, from the eastern tropical Pacific."" Marine Mammal Science 20.2 (2004): 232-245."
"Arendt_2001","\citep{Arendt:2001aa}","Arendt, M.D., Olney, J.E. and Lucy, J.A., 2001. Stomach content analysis of cobia, Rachycentron canadum, from lower Chesapeake Bay. Fishery Bulletin, 99(4), p.665."
