"Bibcite","CiteID"
"Jennings:2002aa","Jennings_2002"
"Mahe:2023aa","Mahe_2023"
"Meiri:2018aa","Meiri_2018"
"Smith:2003aa","Smith_2003"
"Anderson:2017eu",NA
"Brose:2018aa",NA
"Brown:2018ch",NA
"Cai:2025aa",NA
"DeLong:2010aa",NA
"DeLong:2018ts",NA
"Eklof:2017aa",NA
"Faurby:2018aa",NA
"Feldman:2016aa",NA
"Fisher:2001aa",NA
"Galan-Acedo:2019aa",NA
"Gillooly:2016aa",NA
"Gonzalez:1994aa",NA
"Hirt:2017aa",NA
"Killen:2016aa",NA
"Makarieva:2008aa",NA
"Pata:2025aa",NA
"Pauly:2014aa",NA
"Pekar:2021aa",NA
"Reum:2012aa",NA
"Reum:2013aa",NA
"Slip:1995aa",NA
"Tacutu:2013aa",NA
"Trochet:2014aa",NA
"Tucker:2014aa",NA
"Tucker:2014ab",NA
"Williams:1999aa",NA
"Wilman:2014aa",NA
