"search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches"
"acanthephyra_acutifrons","Acanthephyra acutifrons",TRUE,0.95652174949646,2974261,FALSE,"sibling_higher",1
"acanthephyra_curtirostris","Acanthephyra curtirostris",TRUE,0.959999978542328,563063,FALSE,"sibling_higher",3
"acanthephyra_stylorostratis","Acanthephyra stylorostratis",TRUE,0.962962985038757,367600,FALSE,"sibling_higher",2
"acanthina_punctulata","Acanthinucella punctulata",TRUE,0.949999988079071,294761,FALSE,"",2
"acanthina_spirata","Acanthinucella spirata",TRUE,0.941176474094391,294762,FALSE,"",1
"acestrorhynchus_heterolepis","Acestrorhynchus heterolepis",TRUE,0.962962985038757,512087,FALSE,"",1
"acestrorhynchus_minimus","Acestrorhynchus minimus",TRUE,0.95652174949646,512091,FALSE,"",1
"acetes_intermedius","Acetes intermedius",TRUE,0.944444417953491,2970917,FALSE,"",3
"achirus_lineatus","Achirus lineatus",TRUE,0.9375,153494,FALSE,"",4
"acrochordus_arafurae","Acrochordus arafurae",TRUE,0.949999988079071,522482,FALSE,"",1
"acrochordus_granulatus","Acrochordus granulatus",TRUE,0.954545438289642,511702,FALSE,"",1
"actina_equina","Actinia equina",TRUE,0.857142865657806,1084476,FALSE,"sibling_higher",1
"adontosternarchus_devenanzii","Adontosternarchus devenanzii",TRUE,0.964285731315613,3621581,FALSE,"",1
"aeginura_grimoldii","Aeginura grimaldii",TRUE,0.888888895511627,369807,FALSE,"",1
"aelurillus_muganicus","Aelurillus concolor",TRUE,0.949999988079071,3547998,FALSE,"",1
"aequidens_diadema","Aequidens diadema",TRUE,0.941176474094391,797223,FALSE,"",1
"afronatrix_anoscopus","Afronatrix anoscopus",TRUE,0.949999988079071,1074252,FALSE,"",1
"agama_agama","Agama agama",TRUE,0.90909093618393,144931,FALSE,"sibling_higher",1
"agama_hispida","Agama hispida",TRUE,0.923076927661896,620401,FALSE,"sibling_higher",2
"agama_rueppelli","Agama rueppelli",TRUE,0.933333337306976,568287,FALSE,"sibling_higher",4
"ageneiosus_brevifilis","Ageneiosus inermis",TRUE,0.952380955219269,1077781,FALSE,"",2
"agkistrodon_contortrix","Agkistrodon contortrix",TRUE,0.954545438289642,27080,FALSE,"",2
"aglantha_digitale","Aglantha digitale",TRUE,0.941176474094391,459324,FALSE,"",2
"agonostomus_monticola","Agonostomus monticola",TRUE,0.952380955219269,760514,FALSE,"",2
"agonum_dorsale","Anchomenus dorsalis",TRUE,0.928571403026581,222324,FALSE,"",2
"alepisaurus_ferox","Alepisaurus ferox",TRUE,0.941176474094391,587926,FALSE,"",1
"alfaro_cultratus","Alfaro cultratus",TRUE,0.9375,808626,FALSE,"",1
"alitta_virens","Alitta virens",TRUE,0.923076927661896,986619,FALSE,"",1
"allantactis_parasitica","Allantactis parasitica",TRUE,0.954545438289642,858464,FALSE,"",1
"alle_alle","Alle alle",TRUE,0.888888895511627,280899,FALSE,"",1
"alligator_mississippiensis","Alligator mississippiensis",TRUE,0.961538434028625,335590,FALSE,"",3
"alloteuthis_media","Alloteuthis media",TRUE,0.941176474094391,801587,FALSE,"",2
"alopias_pelagicus","Alopias pelagicus",TRUE,0.941176474094391,801808,FALSE,"",1
"alopias_vulpinus","Alopias vulpinus",TRUE,0.9375,1077204,FALSE,"",1
"alopoglossus_angulatus","Alopoglossus angulatus",TRUE,0.954545438289642,545549,FALSE,"",2
"alopoglossus_atriventris","Alopoglossus atriventris",TRUE,0.958333313465118,693619,FALSE,"",1
"alosa_sapidissima","Alosa sapidissima",TRUE,0.941176474094391,519453,FALSE,"",1
"amblyraja_georgiana","Amblyraja georgiana",TRUE,0.947368443012238,597622,FALSE,"",1
"ambystoma_cingulatum","Ambystoma cingulatum",TRUE,0.949999988079071,412661,FALSE,"",3
"ambystoma_rivulare","Ambystoma rivulare",TRUE,0.944444417953491,675687,FALSE,"",2
"ambystoma_texanum","Ambystoma texanum",TRUE,0.941176474094391,1092555,FALSE,"",1
"ameiurus_natalis","Ameiurus natalis",TRUE,0.9375,362803,FALSE,"",2
"ameiva_ameiva","Ameiva ameiva",TRUE,0.923076927661896,661799,FALSE,"",1
"ameiva_festiva","Holcosus festivus",TRUE,0.928571403026581,153490,FALSE,"",2
"amia_calva","Amia calva",TRUE,0.899999976158142,329623,FALSE,"",1
"amietia_angolensis","Amietia angolensis",TRUE,0.944444417953491,72654,FALSE,"",1
"amietophrynus_garmani","Sclerophrys garmani",TRUE,0.952380955219269,405552,FALSE,"",1
"amphilophus_citrinellus","Amphilophus citrinellus",TRUE,0.95652174949646,358037,FALSE,"sibling_higher",2
"amphiura_chiajei","Amphiura chiajei",TRUE,0.9375,269274,FALSE,"sibling_higher",1
"amphiura_filiformis","Amphiura filiformis",TRUE,0.947368443012238,269275,FALSE,"sibling_higher",4
"anasterias_antarctica","Anasterias antarctica",TRUE,0.952380955219269,904273,FALSE,"",2
"anaxyrus_debilis","Anaxyrus debilis",TRUE,0.9375,436339,FALSE,"",2
"anaxyrus_punctatus","Anaxyrus punctatus",TRUE,0.944444417953491,931362,FALSE,"",1
"anchoa_mitchilli","Anchoa mitchilli",TRUE,0.9375,681352,FALSE,"",1
"andinobates_minutus","Andinobates minutus",TRUE,0.947368443012238,947666,FALSE,"",1
"aneides_ferreus","Aneides ferreus",TRUE,0.933333337306976,459361,FALSE,"",2
"aneides_flavipunctatus","Aneides flavipunctatus",TRUE,0.954545438289642,459362,FALSE,"",1
"aneides_lugubris","Aneides lugubris",TRUE,0.9375,64142,FALSE,"",2
"anemonia_viridis","Anemonia viridis",TRUE,0.9375,214124,FALSE,"",1
"anguilla_anguilla","Anguilla anguilla",TRUE,0.941176474094391,854201,FALSE,"",2
"anolis_capito","Anolis capito",TRUE,0.923076927661896,494015,FALSE,"",1
"anolis_chrysolepis","Anolis chrysolepis",TRUE,0.944444417953491,901110,FALSE,"",3
"anolis_fuscoauratus","Anolis fuscoauratus",TRUE,0.947368443012238,653137,FALSE,"",2
"anolis_humilis","Anolis humilis",TRUE,0.928571403026581,967569,FALSE,"",4
"anolis_limifrons","Anolis limifrons",TRUE,0.9375,245842,FALSE,"",6
"anolis_oxylophus","Anolis oxylophus",TRUE,0.9375,853245,FALSE,"",1
"anolis_punctatus","Anolis punctatus",TRUE,0.9375,973783,FALSE,"",3
"anolis_scypheus","Anolis scypheus",TRUE,0.933333337306976,6157172,FALSE,"",2
"anolis_tandai","Anolis tandai",TRUE,0.923076927661896,5852450,FALSE,"",1
"anolis_trachyderma","Anolis trachyderma",TRUE,0.944444417953491,196312,FALSE,"",1
"anthomastus_bathyproctus","Anthomastus bathyproctus",TRUE,0.958333313465118,3679052,FALSE,"",1
"anthopleura_nigrescens","Anthopleura nigrescens",TRUE,0.954545438289642,486995,FALSE,"sibling_higher",1
"aphanius_farsicus","Aphanius farsicus",TRUE,0.941176474094391,818337,FALSE,"",2
"aphanius_fasciatus","Aphanius fasciatus",TRUE,0.944444417953491,763270,FALSE,"",4
"aphyocharax_erythrurus","Aphyocharax erythrurus",TRUE,0.954545438289642,3624943,FALSE,"",1
"apistogramma","Apistogramma",FALSE,1,533599,FALSE,"",1
"apistogramma_hoignei","Apistogramma hoignei",TRUE,0.949999988079071,467398,FALSE,"",1
"aplocheilichthys_johnstoni","Micropanchax johnstoni",TRUE,0.961538434028625,3641893,FALSE,"",3
"aplodinotus_grunniens","Aplodinotus grunniens",TRUE,0.952380955219269,691811,FALSE,"",2
"archaeomysis_japonica","Archaeomysis japonica",TRUE,0.952380955219269,683221,FALSE,"",1
"archaeomysis_kokuboi","Archaeomysis kokuboi",TRUE,0.949999988079071,683222,FALSE,"",1
"archocentrus_centrarchus","Archocentrus centrarchus",TRUE,0.958333313465118,245402,FALSE,"",1
"arctocephalus_australis","Arctocephalus australis",TRUE,0.95652174949646,796568,FALSE,"",6
"arctocephalus_tropicalis","Arctocephalus tropicalis",TRUE,0.958333313465118,336151,FALSE,"",1
"arctogadus_glacialis","Arctogadus glacialis",TRUE,0.949999988079071,1014041,FALSE,"",1
"argyropelecus_lychnus","Argyropelecus lychnus",TRUE,0.952380955219269,462614,FALSE,"",2
"arius_felis","Ariopsis felis",TRUE,0.90909093618393,139650,FALSE,"",1
"artedidraco_loennbergi","Artedidraco lonnbergi",TRUE,0.954545438289642,816890,FALSE,"",4
"artedidraco_orianae","Artedidraco orianae",TRUE,0.947368443012238,871232,FALSE,"",2
"artedidraco_skottsbergi","Artedidraco skottsbergi",TRUE,0.95652174949646,268814,FALSE,"",1
"arthrosaura_reticulata","Arthrosaura reticulata",TRUE,0.954545438289642,170675,FALSE,"",1
"aspidoscelis_tigris","Aspidoscelis tigris",TRUE,0.947368443012238,690595,FALSE,"",1
"aspius_aspius","Aspius aspius",TRUE,0.923076927661896,963424,FALSE,"",1
"astatheros_alfari","Cribroheros alfari",TRUE,0.941176474094391,775035,FALSE,"",1
"asterias_rubens","Asterias rubens",TRUE,0.933333337306976,721252,FALSE,"",4
"astronotus_ocellatus","Astronotus ocellatus",TRUE,0.949999988079071,952936,FALSE,"",1
"astropecten_aranciacus","Astropecten aranciacus",TRUE,0.954545438289642,91274,FALSE,"",3
"astropecten_articulatus","Astropecten articulatus",TRUE,0.95652174949646,258316,FALSE,"",2
"astropecten_indicus","Astropecten indicus",TRUE,0.947368443012238,443981,FALSE,"",3
"astropecten_irregularis","Astropecten irregularis",TRUE,0.95652174949646,269238,FALSE,"",2
"astropecten_platyacanthus","Astropecten platyacanthus",TRUE,0.959999978542328,964772,FALSE,"",3
"astropecten_scoparius","Astropecten scoparius",TRUE,0.952380955219269,964776,FALSE,"",1
"astrostole_scabra","Astrostole scabra",TRUE,0.941176474094391,1045256,FALSE,"",2
"astrotoma_agassizii","Astrotoma agassizii",TRUE,0.947368443012238,19793,FALSE,"",1
"atherina_boyeri","Atherina boyeri",TRUE,0.933333337306976,415774,FALSE,"sibling_higher",2
"atherinella_hubbsi","Atherinella hubbsi",TRUE,0.944444417953491,680147,FALSE,"",1
"atlantoraja_cyclophora","Atlantoraja cyclophora",TRUE,0.954545438289642,781240,FALSE,"",1
"atractosteus_spatula","Atractosteus spatula",TRUE,0.949999988079071,904117,FALSE,"",1
"aurelia_aurita","Aurelia aurita",TRUE,0.928571403026581,404481,FALSE,"",1
"aurelia_limbata","Aurelia limbata",TRUE,0.933333337306976,408842,FALSE,"",2
"aythya_affinis","Aythya affinis",TRUE,0.928571403026581,1044556,FALSE,"",3
"aythya_americana","Aythya americana",TRUE,0.9375,693332,FALSE,"",1
"aythya_ferina","Aythya ferina",TRUE,0.923076927661896,817989,FALSE,"",1
"aythya_marila","Aythya marila",TRUE,0.923076927661896,1044561,FALSE,"",1
"aythya_valisineria","Aythya valisineria",TRUE,0.944444417953491,832938,FALSE,"",1
"babus_callensis","Luciobarbus callensis",TRUE,0.875,5554995,FALSE,"",1
"bairdiella_chrysoura","Bairdiella chrysoura",TRUE,0.949999988079071,761907,FALSE,"",3
"balaena_mysticetus","Balaena mysticetus",TRUE,0.944444417953491,397231,FALSE,"",2
"balaenoptera_acutorostrata","Balaenoptera acutorostrata",TRUE,0.961538434028625,800317,FALSE,"",2
"barbus_paludinosus","Enteromius paludinosus",TRUE,0.944444417953491,446410,FALSE,"",2
"barbus_strumicae","Barbus strumicae",TRUE,0.9375,441746,FALSE,"",1
"bathylagidae","Bathylagidae",FALSE,1,562637,FALSE,"",1
"batrachoseps_attenuatus","Batrachoseps attenuatus",TRUE,0.95652174949646,57755,FALSE,"",1
"bdeogale_nigripes","Bdeogale nigripes",TRUE,0.941176474094391,670218,FALSE,"",1
"belone_belone","Belone belone",TRUE,0.923076927661896,6991,FALSE,"",2
"belonesox_belizanus","Belonesox belizanus",TRUE,0.947368443012238,913297,FALSE,"",1
"bembidion_lampros","Bembidion lampros",TRUE,0.941176474094391,349492,FALSE,"",2
"benthalbella_dentata","Benthalbella dentata",TRUE,0.949999988079071,1095245,FALSE,"",1
"bentheogennema_intermedia","Bentheogennema intermedia",TRUE,0.959999978542328,588781,FALSE,"",1
"blackfordia_virginica","Blackfordia virginica",TRUE,0.952380955219269,766639,FALSE,"",1
"blarinomys_breviceps","Blarinomys breviceps",TRUE,0.949999988079071,196745,FALSE,"",1
"bolinopsis_infundibulum","Bolinopsis infundibulum",TRUE,0.95652174949646,626461,FALSE,"",1
"bolitoglossa_mexicana","Bolitoglossa mexicana",TRUE,0.952380955219269,391973,FALSE,"",2
"bolitoglossa_pandi","Bolitoglossa pandi",TRUE,0.944444417953491,3620559,FALSE,"sibling_higher",1
"bolitoglossa_rufescens","Bolitoglossa rufescens",TRUE,0.954545438289642,999154,FALSE,"",1
"bombina_variegata","Bombina variegata",TRUE,0.941176474094391,991539,FALSE,"",1
"boreogadus_saida","Boreogadus saida",TRUE,0.9375,877055,FALSE,"",1
"boulengerella_cuvieri","Boulengerella cuvieri",TRUE,0.952380955219269,3625788,FALSE,"",1
"boulengerella_lucius","Boulengerella lucius",TRUE,0.949999988079071,3625790,FALSE,"",3
"boulengerula_taitanus","Boulengerula taitana",TRUE,0.952380955219269,42297,FALSE,"",2
"brachyhypopomus_occidentalis","Brachyhypopomus occidentalis",TRUE,0.964285731315613,349822,FALSE,"",1
"brachyrhaphis_parismina","Brachyrhaphis parismina",TRUE,0.95652174949646,779448,FALSE,"",1
"brisingella_coronata","Hymenodiscus coronata",TRUE,0.949999988079071,3657315,FALSE,"",2
"bucephala_albeola","Bucephala albeola",TRUE,0.941176474094391,654820,FALSE,"",1
"bucephala_clangula","Bucephala clangula",TRUE,0.944444417953491,166683,FALSE,"",1
"bucephala_islandica","Bucephala islandica",TRUE,0.947368443012238,780952,FALSE,"",1
"bufo_bufo","Bufo bufo",TRUE,0.888888895511627,889350,FALSE,"",1
"bufo_gargarizans","Bufo gargarizans",TRUE,0.9375,279549,FALSE,"",1
"bufo_japonicus","Bufo japonicus",TRUE,0.928571403026581,889333,FALSE,"",3
"bufo_marinus","Rhinella marina",TRUE,0.916666686534882,889340,FALSE,"",1
