"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","chosen.name","chosen.ott_id"
"acanthephyra_curtirostris","Acanthepyra cultirostris",TRUE,2974286,FALSE,"",3,NA,563063
"acanthephyra_stylorostratis","Acanthephyra stylorostratis",TRUE,367600,FALSE,"sibling_higher",2,NA,367600
"acanthina_punctulata","Acanthinucella punctulata",TRUE,294761,FALSE,"",2,NA,294761
"acetes_intermedius","Acetes intermedius",TRUE,2970917,FALSE,"",3,NA,2970917
"achirus_lineatus","Cynoglossus bilineatus",TRUE,100805,FALSE,"",4,NA,153494
"agama_hispida","Agama hispida",TRUE,620401,FALSE,"sibling_higher",2,NA,620401
"agama_rueppelli","Agama rueppelli",TRUE,568287,FALSE,"sibling_higher",4,NA,568287
"ageneiosus_brevifilis","Ageneiosus inermis",TRUE,1077781,FALSE,"",2,NA,1077781
"agkistrodon_contortrix","Agkistrodon contortrix",TRUE,27080,FALSE,"",2,NA,27080
"aglantha_digitale","Aglantha digitale",TRUE,459324,FALSE,"",2,NA,459324
"agonostomus_monticola","Agonostomus monticola",TRUE,760514,FALSE,"",2,NA,760514
"agonum_dorsale","Anchomenus dorsalis",TRUE,222324,FALSE,"",2,NA,222324
"alligator_mississippiensis","Alligator mississippiensis",TRUE,335590,FALSE,"",3,NA,335590
"alloteuthis_media","Alloteuthis media",TRUE,801587,FALSE,"",2,NA,801587
"alopoglossus_angulatus","Alopoglossus angulatus",TRUE,545549,FALSE,"",2,NA,545549
"ambystoma_cingulatum","Ambystoma annulatum",TRUE,287733,FALSE,"",3,NA,412661
"ambystoma_rivulare","Ambystoma rivulare",TRUE,675687,FALSE,"",2,NA,675687
"ameiurus_natalis","Ameiurus natalis",TRUE,362803,FALSE,"",2,NA,362803
"ameiva_festiva","Holcosus festivus",TRUE,153490,FALSE,"",2,NA,153490
"amphilophus_citrinellus","Amphilophus citrinellus",TRUE,358037,FALSE,"sibling_higher",2,NA,358037
"amphiura_filiformis","Aphorura filiformis",TRUE,7701764,FALSE,"",4,NA,269275
"anasterias_antarctica","Anasterias antarctica",TRUE,904273,FALSE,"",2,NA,904273
"anaxyrus_debilis","Anaxyrus debilis",TRUE,436339,FALSE,"",2,NA,436339
"aneides_ferreus","Aneides ferreus",TRUE,459361,FALSE,"",2,NA,459361
"aneides_lugubris","Aneides lugubris",TRUE,64142,FALSE,"",2,NA,64142
"anguilla_anguilla","Anguilla anguilla",TRUE,854201,FALSE,"",2,NA,854201
"anolis_chrysolepis","Anolis chrysolepis",TRUE,901110,FALSE,"",3,NA,901110
"anolis_fuscoauratus","Anolis fuscoauratus",TRUE,653137,FALSE,"",2,NA,653137
"anolis_humilis","Agenioideus humilis",TRUE,5811063,FALSE,"sibling_higher",4,NA,967569
"anolis_limifrons","Anolis limifrons",TRUE,245842,FALSE,"",6,NA,245842
"anolis_punctatus","Anolis punctatus",TRUE,973783,FALSE,"",3,NA,973783
"anolis_scypheus","Anolis scypheus",TRUE,6157172,FALSE,"",2,NA,6157172
"aphanius_farsicus","Aphanius farsicus",TRUE,818337,FALSE,"",2,NA,818337
"aphanius_fasciatus","Aphanius fasciatus",TRUE,763270,FALSE,"",4,NA,763270
"aplocheilichthys_johnstoni","Micropanchax johnstoni",TRUE,3641893,FALSE,"",3,NA,3641893
"aplodinotus_grunniens","Aplodinotus grunniens",TRUE,691811,FALSE,"",2,NA,691811
"argyropelecus_lychnus","Argyropelecus lychnus",TRUE,462614,FALSE,"",2,NA,462614
"artedidraco_loennbergi","Artedidraco lonnbergi",TRUE,816890,FALSE,"",4,NA,816890
"artedidraco_orianae","Artedidraconidae",TRUE,504797,FALSE,"",2,NA,871232
"asterias_rubens","Echinaster sepositus",TRUE,893169,FALSE,"sibling_higher",4,NA,721252
"astropecten_aranciacus","Astropecten aranciacus",TRUE,91274,FALSE,"",3,NA,91274
"astropecten_articulatus","Astropecten articulatus",TRUE,258316,FALSE,"",2,NA,258316
"astropecten_indicus","Astropecten indicus",TRUE,443981,FALSE,"",3,NA,443981
"astropecten_irregularis","Astropecten irregularis",TRUE,269238,FALSE,"",2,NA,269238
"astrostole_scabra","Astrostole scabra",TRUE,1045256,FALSE,"",2,NA,1045256
"atherina_boyeri","Atherina boyeri",TRUE,415774,FALSE,"sibling_higher",2,NA,415774
