"Citation","Diet.richness.minimum","Ecosystem","EndoEcto","Feeding.data.type","First.entry.Name","Latitude","mass_g","Month","Space.averaging","Taxon.group","Time.averaging","Total.stomachs.count.given","Year"
"Battaglia_2014",60,"Marine","Ectotherm","Gut content (lethal)","Ben",35.73,NA,NA,"10km","Fish","Years",296,2011
"Heng_2018",5,"Lentic","Ectotherm","Gut content (lethal)","Ben",12.66,NA,NA,"10km","Fish","Months",179,2014
"Wang_2023",57,"Lotic","Ectotherm","Gut content (lethal)","Ben",47.31,NA,NA,"100km","Fish","Years",574,2017
"Chelotti_2022",14,"Marine","Ectotherm","Gut content (lethal)","Colin",-24.08,NA,NA,"100km","Fish","Years",56,2008
"Chelotti_2022",14,"Marine","Ectotherm","Gut content (lethal)","Colin",-24.08,NA,NA,"100km","Fish","Years",52,2008
"Chelotti_2022",26,"Marine","Ectotherm","Gut content (lethal)","Colin",-24.08,NA,NA,"100km","Fish","Years",321,2008
"Chelotti_2022",26,"Marine","Ectotherm","Gut content (lethal)","Colin",-24.08,NA,NA,"100km","Fish","Years",179,2008
"Megina_2001",2,"Marine","Ectotherm","Gut content (lethal)","Colin",36.14,NA,NA,"100m","Molluscs","Days",2,2000
"Megina_2001",4,"Marine","Ectotherm","Gut content (lethal)","Colin",36.16,NA,NA,"100m","Molluscs","Days",2,2000
"Megina_2001",4,"Marine","Ectotherm","Gut content (lethal)","Colin",36,NA,NA,"100m","Molluscs","Days",16,2000
"Megina_2001",7,"Marine","Ectotherm","Gut content (lethal)","Colin",36.18,NA,NA,"100m","Molluscs","Days",29,2000
"Megina_2001",6,"Marine","Ectotherm","Gut content (lethal)","Colin",36.17,NA,NA,"100m","Molluscs","Days",7,2000
"Megina_2001",1,"Marine","Ectotherm","Gut content (lethal)","Colin",36.18,NA,NA,"100m","Molluscs","Days",2,2000
"Megina_2001",3,"Marine","Ectotherm","Gut content (lethal)","Colin",36.11,NA,NA,"100m","Molluscs","Days",5,2000
"Pereira_2018",18,"Marine","Ectotherm","Gut content (lethal)","Colin",-30,NA,NA,"100km","Fish","Years",57,2012
"Pereira_2018",18,"Marine","Ectotherm","Gut content (lethal)","Colin",-30,NA,NA,"100km","Fish","Years",25,2012
"Polis_1979",95,"Terrestrial","Ectotherm","Direct observation","Colin",33.86,NA,NA,"100m","Arthropods","Years",11308,1975
"Tickell_2021",2,"Marine","Ectotherm","Direct observation","Dylan",-0.53,NA,NA,"100km","Echinoderms","Years",462,2012
"Brodeur_1987",7,"Marine","Ectotherm","Gut content (lethal)","Gray",45.6,NA,NA,"100km","Molluscs","Months",17,1984
"Brodeur_1987",21,"Marine","Ectotherm","Gut content (lethal)","Gray",45.6,NA,NA,"100km","Molluscs","Months",43,1981
"Brodeur_1987",12,"Marine","Ectotherm","Gut content (lethal)","Gray",45.6,NA,NA,"100km","Fish","Years",17,1982
"Brodeur_1987",15,"Marine","Ectotherm","Gut content (lethal)","Gray",45.6,NA,NA,"100km","Fish","Months",25,1982
"Brodeur_1987",39,"Marine","Ectotherm","Gut content (lethal)","Gray",45.6,NA,NA,"100km","Fish","Months",59,1984
"Brodeur_1987",23,"Marine","Ectotherm","Gut content (lethal)","Gray",45.6,NA,NA,"100km","Fish","Months",48,1983
"Brodeur_1988",11,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",20,1985
"Brodeur_1988",3,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",15,1985
"Brodeur_1988",10,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",72,1985
"Brodeur_1988",49,"Marine","Ectotherm","Gut content (lethal)","Gray",57.55,NA,NA,"100km","Fish","Years",293,1985
"Brodeur_1988",11,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",52,1985
"Brodeur_1988",20,"Marine","Ectotherm","Gut content (lethal)","Gray",55.93,NA,NA,"100km","Fish","Years",86,1985
"Brodeur_1988",5,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",24,1985
"Brodeur_1988",7,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",68,1985
"Brodeur_1988",85,"Marine","Ectotherm","Gut content (lethal)","Gray",58.02,NA,NA,"100km","Fish","Years",99,1985
"Brodeur_1988",25,"Marine","Ectotherm","Gut content (lethal)","Gray",58.28,NA,NA,"100km","Fish","Years",396,1985
"Brodeur_1988",6,"Marine","Ectotherm","Gut content (lethal)","Gray",58.63,NA,NA,"1000km","Fish","Years",39,1985
"Facade_1971",9,"Marine","Ectotherm","Gut content (lethal)","Gray",6.51,NA,NA,"10km","Fish","Years",398,1967
"Facade_1971",1,"Marine","Ectotherm","Gut content (lethal)","Gray",6.51,NA,NA,"10km","Fish","Years",4,1967
"Fagade_1973",2,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",10,1967
"Fagade_1973",7,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",57,1967
"Fagade_1973",9,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",213,1968
"Fagade_1973",2,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",8,1967
"Fagade_1973",11,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",142,1967
"Fagade_1973",8,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",77,1967
"Fagade_1973",4,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",25,1967
"Fagade_1973",5,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",44,1967
"Fagade_1973",4,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",21,1967
"Fagade_1973",3,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",141,1967
"Fagade_1973",7,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",55,1967
"Fagade_1973",5,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",67,1967
"Fagade_1973",2,"Marine","Ectotherm","Gut content (lethal)","Gray",6.4,NA,NA,"1000m","Fish","Years",12,1967
"Fagundes_2008",15,"Lotic","Ectotherm","Gut content (lethal)","Gray",-29.58,NA,NA,"100m","Fish","Years",328,2001
"Kutter_2009",30,"Lotic","Ectotherm","Gut content (lethal)","Gray",-32.42,NA,NA,"1000m","Fish","Years",189,2003
"Labropoulou_1998",62,"Marine","Ectotherm","Gut content (lethal)","Gray",35.4,NA,NA,"10km","Fish","Years",1045,1991
"Lima_2023",21,"Lotic","Ectotherm","Gut content (lethal)","Gray",-3.52,NA,NA,"10km","Fish","Months",93,2021
"Longhurst_1957",5,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",7,1953
"Longhurst_1957",4,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",10,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",16,1953
"Longhurst_1957",9,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",472,1953
"Longhurst_1957",7,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",1047,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",23,1953
"Longhurst_1957",10,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",3840,1953
"Longhurst_1957",7,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",59,1953
"Longhurst_1957",2,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",10,1953
"Longhurst_1957",12,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",2375,1953
"Longhurst_1957",10,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",1437,1953
"Longhurst_1957",1,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",38,1953
"Longhurst_1957",4,"Marine","Ectotherm","Gut content (lethal)","Gray",8.5,NA,NA,"1000m","Fish","Years",59,1953
