"freq","Diet.richness.minimum","Year","Total.stomachs.count.given","Time.averaging","Space.averaging","Month","mass_g"
2131,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1479,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
705,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
435,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
268,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
118,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
77,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
46,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
24,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
