"Cite","ConIDorig","ConID","ott_id","TSc","FSc","fF","TG","EE","BM","Eco","Lat","Long","DR","DRlog","Drf","Drc","TA","TAlog","SA","SAlog","Yr","tWS","DT","FD"
"Burghart_2010","Acanthephyra_acutifrons","Acanthephyra_acutifrons",2974261,8,7,0.875,"Fish","Ectotherm",NA,"Marine",27,NA,5,0.698970004336019,"Family","Class","Decades",4.94250410616808,"10km",4,1985,192,1985-07-01 00:00:00,"Gut content"
"Burghart_2010","Acanthephyra_curtirostris","Acanthephyra_curtirostris",563063,53,51,0.962,"Fish","Ectotherm",NA,"Marine",27,NA,9,0.954242509439325,"Family","Class","Decades",4.94250410616808,"10km",4,1985,192,1985-07-01 00:00:00,"Gut content"
"Burghart_2010","Acanthephyra_stylorostratis","Acanthephyra_stylorostratis",367600,59,56,0.949,"Fish","Ectotherm",NA,"Marine",27,NA,8,0.903089986991944,"Family","Class","Decades",4.94250410616808,"10km",4,1985,192,1985-07-01 00:00:00,"Gut content"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,97,20,0.21,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1971,93,1971-03-24 00:00:00,"Direct observation"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,152,27,0.18,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1971,92,1971-03-23 00:00:00,"Direct observation"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,60,21,0.35,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1971,84,1971-03-15 00:00:00,"Direct observation"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,49,13,0.27,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1971,20,1971-01-10 00:00:00,"Direct observation"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,41,18,0.44,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1970,330,1970-11-16 00:00:00,"Direct observation"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,25,9,0.36,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1971,19,1971-01-09 00:00:00,"Direct observation"
"Menge_1974a","Acanthina_punctulata","Acanthinucella_punctulata",294761,61,18,0.3,"Molluscs","Ectotherm",0.85,"Marine",34,NA,6,0.778151250383644,"Species","Species","Hours",0,"10m",1,1971,47,1971-02-06 00:00:00,"Direct observation"
