"Dataset S27. Molecular rates, environmental predictors, and life-history traits of species based on mitochondrial genes used in this study.",,,,,,,,,,,,,,,,,,,,,,,,
GenBank,ThermoMode,Group,Class,Order,Family,Species,Clade,dN (substitution/site/year),dS (substitution/site/year),dNdS,Clade.Age (Ma),Tip.Age (Ma),Mid Latitude (°),Mean Annual Temperature (℃),Habitat,BodyMass (g),Longevity (year),MaturityAge (year),Fecundity (Individual/year),Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
AP004350.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Erpetoichthys_calabaricus,Fishes_Node2531,1.34E-10,5.77E-09,0.02,66.66,66.66,6.40,26.19,Freshwater,93.2,20.0,3.0,276.0,NA,FishBase,FishBase,https://podarilove.ru/en/rybka-zmeya-prirodnyi-areal-obitaniya-nochnoi-ohotnik---kalamoiht/,FishBase
HM143937.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_retropinnis,Fishes_Node2531,1.22E-10,3.75E-09,0.03,66.66,32.37,1.99,23.98,Freshwater,219.9,10.0,1.9,158.0,NA,FishBase,,,https://tropical-fish-keeping.com/retropinnis-bichir-polypterus-retropinnis.html
HM143929.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_endlicherii,Fishes_Node2531,2.45E-10,7.62E-09,0.03,66.66,14.59,8.43,26.42,Freshwater,1785.5,20.0,8.0,25500.0,NA,FishBase,Life history strategies affect climate based spatial synchrony in population dynamics of West African freshwater fishes,https://animalscene.ph/2020/09/14/polypterus-endlicheri-endlicheri-a-monster-bichir-in-your-tank/,https://www.fishkeepingworld.com/bichir/
HM143926.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_ansorgii,Fishes_Node2531,2.27E-10,7.25E-09,0.03,66.66,9.17,9.60,26.52,Freshwater,121.1,10.0,5.0,75.3,NA,FishBase,,https://housaqua.com/en/2449-polypterus-ansorgii.html,https://tropical-fish-keeping.com/guinean-bichir-polypterus-ansorgii.html
HM143927.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_bichir,Fishes_Node2531,1.88E-10,6.09E-09,0.03,66.66,9.17,13.36,26.43,Freshwater,2650.0,15.0,5.0,951.0,NA,FishBase,"Distribution, Morphometrics, Feeding Evaluation and the Reproductive Capacity of Polypterus Bichir from the River Niger at Agenebode in Edo State Nigeria.",https://www.buildyouraquarium.com/bichir-care/,https://www.aquariumsource.com/bichir/
HM143934.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_mokelembembe,Fishes_Node2531,1.67E-10,6.48E-09,0.03,66.66,21.69,1.56,24.05,Freshwater,85.0,25.0,1.6,38.6,NA,FishBase,,,Aquariumwiki.com
AP004351.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_ornatipinnis,Fishes_Node2531,2.74E-10,6.17E-09,0.04,66.66,15.96,4.48,23.29,Freshwater,1257.2,15.0,4.0,200.0,NA,FishBase,FishBase,https://www.monsterfishkeepers.com/forums/threads/bichir-breeding.107422/,https://badmanstropicalfish.com/ornate-bichir/
HM143939.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_weeksii,Fishes_Node2531,1.86E-10,6.63E-09,0.03,66.66,15.96,2.91,23.75,Freshwater,909.8,15.0,2.4,923.1,NA,FishBase,,,http://www.Aquariumwiki.com/wiki/Polypterus_weeksii
HM143938.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_teugelsi,Fishes_Node2531,4.80E-10,6.13E-09,0.08,66.66,22.51,5.90,23.77,Freshwater,405.4,25.0,2.0,338.0,NA,FishBase,,https://aquainfo.org/polypterus-teugelsi-cross-river-bichir/,http://www.Aquariumwiki.com/wiki/Polypterus_teugelsi
AP004352.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_senegalus,Fishes_Node2531,1.77E-10,6.83E-09,0.03,66.66,19.29,9.14,26.47,Freshwater,1467.0,34.0,2.7,2170.0,NA,FishBase,Guide to the fishes of the River Nile in the Republic of the Sudan,,FishBase
HM143936.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_palmas,Fishes_Node2531,2.07E-10,5.90E-09,0.04,66.66,13.99,8.57,25.70,Freshwater,246.7,30.0,1.9,50.0,NA,FishBase,FishBase,,https://www.monsterfishkeepers.com/forums/threads/life-span-of-a-bichir.310777/
HM143930.1,Ectotherms,Fishes,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_delhezi,Fishes_Node2531,3.05E-10,7.41E-09,0.04,66.66,13.99,2.02,24.08,Freshwater,485.2,15.0,2.2,2350.0,NA,FishBase,FishBase,,https://badmanstropicalfish.com/delhezi-bichir/
AY510086.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon_spathula,Fishes_Node2543,3.43E-11,1.23E-09,0.03,120.80,63.10,39.64,12.16,Freshwater,101206.6,55.0,10.0,8692521.0,NA,FishBase,Relationships between genetic variability and life_history features of bony fishes,Animal Diversity Web,FishBase
AY571339.1,Ectotherms,Fishes,Actinopterygii,Acipenseriformes,Polyodontidae,Psephurus_gladius,Fishes_Node2543,6.40E-11,1.48E-09,0.04,120.80,63.10,30.44,17.94,Marine&Freshwater,300000.0,38.0,5.5,970000.0,NA,FishBase,FishBase,FishBase,https://www.igb-berlin.de/en/chinese-paddlefish
